drug_id,substance_id
EMA0000289,72
EMA0000290,26
EMA0000291,26
EMA0000292,26
EMA0000293,72
EMA0000294,26
EMA0000295,26
EMA0000296,26
EMA0000297,26
EMA0000298,72
EMA0000299,26
EMA0000300,26
EMA0000301,26
EMA0000302,26
EMA0000303,26
EMA0000304,26
EMA0000305,26
EMA0000306,26
EMA0000307,26
EMA0000308,26
EMA0000309,26
EMA0000310,26
EMA0000311,26
EMA0000312,26
EMA0000313,26
EMA0000314,26
EMA0000315,26
EMA0000316,26
EMA0000317,72
EMA0000318,26
EMA0000319,26
EMA0000320,26
EMA0000321,26
EMA0000322,74
EMA0000323,75
EMA0000324,76
EMA0000325,60
EMA0000326,77
EMA0000327,78
EMA0000328,79
EMA0000329,80
EMA0000330,81
EMA0000331,82
EMA0000332,79
EMA0000333,83
EMA0000334,84
EMA0000335,85
EMA0000336,86
EMA0000337,87
EMA0000338,88
EMA0000339,89
EMA0000340,79
EMA0000341,90
EMA0000342,91
EMA0000343,92
EMA0000344,93
EMA0000345,22
EMA0000346,94
EMA0000347,95
EMA0000348,96
EMA0000349,10
EMA0000350,97
EMA0000351,98
EMA0000352,75
EMA0000353,99
EMA0000354,100
EMA0000355,101
EMA0000356,102
EMA0000357,103
EMA0000358,104
EMA0000359,104
EMA0000360,105
EMA0000361,106
EMA0000362,107
EMA0000363,24
EMA0000364,54
EMA0000365,108
EMA0000366,109
EMA0000367,110
EMA0000368,111
EMA0000369,112
EMA0000370,113
EMA0000371,114
EMA0000372,115
EMA0000373,116
EMA0000374,117
EMA0000375,46
EMA0000376,27
EMA0000377,118
EMA0000378,119
EMA0000379,120
EMA0000380,120
EMA0000381,120
EMA0000382,120
EMA0000383,120
EMA0000384,121
EMA0000385,122
EMA0000386,123
EMA0000386,122
EMA0000387,124
EMA0000388,124
EMA0000389,124
EMA0000390,124
EMA0000391,124
EMA0000392,124
EMA0000393,124
EMA0000394,124
EMA0000395,124
EMA0000396,124
EMA0000397,124
EMA0000398,124
EMA0000399,124
EMA0000400,124
EMA0000401,124
EMA0000402,124
EMA0000403,124
EMA0000404,124
EMA0000405,124
EMA0000406,124
EMA0000407,124
EMA0000408,124
EMA0000409,124
EMA0000410,124
EMA0000411,124
EMA0000412,124
EMA0000413,124
EMA0000414,124
EMA0000415,124
EMA0000416,124
EMA0000417,124
EMA0000418,124
EMA0000419,124
EMA0000420,10
EMA0000421,10
EMA0000422,10
EMA0000423,125
EMA0000424,126
EMA0000425,127
EMA0000426,124
EMA0000427,128
EMA0000428,129
EMA0000429,130
EMA0000430,131
EMA0000431,131
EMA0000432,131
EMA0000433,132
EMA0000434,133
EMA0000435,134
EMA0000436,135
EMA0000437,135
EMA0000438,135
EMA0000439,135
EMA0000440,135
EMA0000441,135
EMA0000442,135
EMA0000443,135
EMA0000444,135
EMA0000445,135
EMA0000446,135
EMA0000447,135
EMA0000448,135
EMA0000449,135
EMA0000450,135
EMA0000451,135
EMA0000452,135
EMA0000453,135
EMA0000454,135
EMA0000455,135
EMA0000456,135
EMA0000457,127
EMA0000458,136
EMA0000459,137
EMA0000460,137
EMA0000461,138
EMA0000462,139
EMA0000463,140
EMA0000464,141
EMA0000465,139
EMA0000466,139
EMA0000467,142
EMA0000468,139
EMA0000469,143
EMA0000470,144
EMA0000471,145
EMA0000472,146
EMA0000473,146
EMA0000474,146
EMA0000475,147
EMA0000476,147
EMA0000477,146
EMA0000478,147
EMA0000479,147
EMA0000480,146
EMA0000481,147
EMA0000482,146
EMA0000483,146
EMA0000484,146
EMA0000485,146
EMA0000486,147
EMA0000487,10
EMA0000488,148
EMA0000489,149
EMA0000490,149
EMA0000491,149
EMA0000492,149
EMA0000493,149
EMA0000494,149
EMA0000495,149
EMA0000496,149
EMA0000497,149
EMA0000498,149
EMA0000499,149
EMA0000500,149
EMA0000501,149
EMA0000502,149
EMA0000503,149
EMA0000504,149
EMA0000505,149
EMA0000506,149
EMA0000507,149
EMA0000508,149
EMA0000509,149
EMA0000510,150
EMA0000511,150
EMA0000512,150
EMA0000513,147
EMA0000514,146
EMA0000515,76
EMA0000516,151
EMA0000517,152
EMA0000518,153
EMA0000519,154
EMA0000520,155
EMA0000521,135
EMA0000522,151
EMA0000523,151
EMA0000524,156
EMA0000525,149
EMA0000526,150
EMA0000527,150
EMA0000528,150
EMA0000529,157
EMA0000530,158
EMA0000531,159
EMA0000532,160
EMA0000533,160
EMA0000534,160
EMA0000535,161
EMA0000536,135
EMA0000537,162
EMA0000538,163
EMA0000539,164
EMA0000540,164
EMA0000541,164
EMA0000542,164
EMA0000543,164
EMA0000544,165
EMA0000545,166
EMA0000546,167
EMA0000547,135
EMA0000548,168
EMA0000549,169
EMA0000550,165
EMA0000551,170
EMA0000552,171
EMA0000553,150
EMA0000554,41
EMA0000555,172
EMA0000556,173
EMA0000557,10
EMA0000558,10
EMA0000559,10
EMA0000560,10
EMA0000561,152
EMA0000562,19
EMA0000563,19
EMA0000564,19
EMA0000565,19
EMA0000566,161
EMA0000567,174
EMA0000568,175
EMA0000569,26
EMA0000570,176
EMA0000571,175
EMA0000572,177
EMA0000573,177
EMA0000574,177
EMA0000575,177
EMA0000576,178
EMA0000577,177
EMA0000578,177
EMA0000579,177
EMA0000580,179
EMA0000581,180
EMA0000582,181
EMA0000583,162
EMA0000584,162
EMA0000585,182
EMA0000586,162
EMA0000587,162
EMA0000588,162
EMA0000589,183
EMA0000590,162
EMA0000591,162
EMA0000592,184
EMA0000593,162
EMA0000594,162
EMA0000595,162
EMA0000596,162
EMA0000597,185
EMA0000598,152
EMA0000599,3
EMA0000600,3
EMA0000601,135
EMA0000602,135
EMA0000603,135
EMA0000604,135
EMA0000605,135
EMA0000606,135
EMA0000607,135
EMA0000608,135
EMA0000609,135
EMA0000610,135
EMA0000611,135
EMA0000612,135
EMA0000613,135
EMA0000614,135
EMA0000615,135
EMA0000616,135
EMA0000617,135
EMA0000618,135
EMA0000619,135
EMA0000620,135
EMA0000621,135
EMA0000622,135
EMA0000623,135
EMA0000624,135
EMA0000625,135
EMA0000626,135
EMA0000627,135
EMA0000628,135
EMA0000629,135
EMA0000630,135
EMA0000631,135
EMA0000632,135
EMA0000633,135
EMA0000634,135
EMA0000635,135
EMA0000636,135
EMA0000637,135
EMA0000638,135
EMA0000639,135
EMA0000640,135
EMA0000641,135
EMA0000642,135
EMA0000643,186
EMA0000644,10
EMA0000645,10
EMA0000646,187
EMA0000647,10
EMA0000648,10
EMA0000649,10
EMA0000650,10
EMA0000651,10
EMA0000652,10
EMA0000653,188
EMA0000654,135
EMA0000655,135
EMA0000656,135
EMA0000657,135
EMA0000658,135
EMA0000659,135
EMA0000660,135
EMA0000661,135
EMA0000662,135
EMA0000663,135
EMA0000664,135
EMA0000665,135
EMA0000666,135
EMA0000667,135
EMA0000668,135
EMA0000669,135
EMA0000670,135
EMA0000671,135
EMA0000672,135
EMA0000673,135
EMA0000674,135
EMA0000675,135
EMA0000676,135
EMA0000677,135
EMA0000678,135
EMA0000679,135
EMA0000680,135
EMA0000681,135
EMA0000682,135
EMA0000683,135
EMA0000684,135
EMA0000685,135
EMA0000686,135
EMA0000687,135
EMA0000688,135
EMA0000689,135
EMA0000690,135
EMA0000691,135
EMA0000692,135
EMA0000693,135
EMA0000694,135
EMA0000695,135
EMA0000696,135
EMA0000697,135
EMA0000698,135
EMA0000699,135
EMA0000700,135
EMA0000701,135
EMA0000702,189
EMA0000703,189
EMA0000704,189
EMA0000705,189
EMA0000706,10
EMA0000707,10
EMA0000708,10
EMA0000709,10
EMA0000710,10
EMA0000711,10
EMA0000712,190
EMA0000713,190
EMA0000714,10
EMA0000715,10
EMA0000716,191
EMA0000717,191
EMA0000718,10
EMA0000719,187
EMA0000720,10
EMA0000721,10
EMA0000722,10
EMA0000723,10
EMA0000724,10
EMA0000725,10
EMA0000726,10
EMA0000727,10
EMA0000728,10
EMA0000729,10
EMA0000730,187
EMA0000731,187
EMA0000732,187
EMA0000733,10
EMA0000734,10
EMA0000735,190
EMA0000736,190
EMA0000737,10
EMA0000738,10
EMA0000739,192
EMA0000740,193
EMA0000741,194
EMA0000742,195
EMA0000743,135
EMA0000744,192
EMA0000745,192
EMA0000746,192
EMA0000747,192
EMA0000748,192
EMA0000749,192
EMA0000750,192
EMA0000751,192
EMA0000752,192
EMA0000753,192
EMA0000754,192
EMA0000755,192
EMA0000756,192
EMA0000757,196
EMA0000758,192
EMA0000759,192
EMA0000760,192
EMA0000761,192
EMA0000762,192
EMA0000763,192
EMA0000764,192
EMA0000765,192
EMA0000766,192
EMA0000767,192
EMA0000768,196
EMA0000769,192
EMA0000770,192
EMA0000771,197
EMA0000772,192
EMA0000773,192
EMA0000774,192
EMA0000775,192
EMA0000776,192
EMA0000777,192
EMA0000778,192
EMA0000779,192
EMA0000780,192
EMA0000781,192
EMA0000782,192
EMA0000783,192
EMA0000784,192
EMA0000785,192
EMA0000786,192
EMA0000787,192
EMA0000788,192
EMA0000789,192
EMA0000790,192
EMA0000791,192
EMA0000792,192
EMA0000793,192
EMA0000794,192
EMA0000795,192
EMA0000796,192
EMA0000797,192
EMA0000798,192
EMA0000799,192
EMA0000800,192
EMA0000801,192
EMA0000802,192
EMA0000803,192
EMA0000804,192
EMA0000805,192
EMA0000806,192
EMA0000807,192
EMA0000808,192
EMA0000809,192
EMA0000810,192
EMA0000811,192
EMA0000812,192
EMA0000813,192
EMA0000814,192
EMA0000815,192
EMA0000816,192
EMA0000817,192
EMA0000818,192
EMA0000819,192
EMA0000820,192
EMA0000821,192
EMA0000822,192
EMA0000823,192
EMA0000824,192
EMA0000825,192
EMA0000826,192
EMA0000827,192
EMA0000828,192
EMA0000829,192
EMA0000830,192
EMA0000831,192
EMA0000832,192
EMA0000833,192
EMA0000834,192
EMA0000835,192
EMA0000836,192
EMA0000837,192
EMA0000838,192
EMA0000839,192
EMA0000840,192
EMA0000841,192
EMA0000842,192
EMA0000843,192
EMA0000844,192
EMA0000845,192
EMA0000846,196
EMA0000847,192
EMA0000848,192
EMA0000849,192
EMA0000850,192
EMA0000851,192
EMA0000852,192
EMA0000853,192
EMA0000854,192
EMA0000855,192
EMA0000856,192
EMA0000857,192
EMA0000858,192
EMA0000859,192
EMA0000860,192
EMA0000861,192
EMA0000862,192
EMA0000863,192
EMA0000864,192
EMA0000865,192
EMA0000866,192
EMA0000867,192
EMA0000868,192
EMA0000869,192
EMA0000870,192
EMA0000871,192
EMA0000872,192
EMA0000873,192
EMA0000874,192
EMA0000875,192
EMA0000876,192
EMA0000877,192
EMA0000878,192
EMA0000879,192
EMA0000880,192
EMA0000881,192
EMA0000882,192
EMA0000883,192
EMA0000884,192
EMA0000885,192
EMA0000886,192
EMA0000887,192
EMA0000888,198
EMA0000889,192
EMA0000890,192
EMA0000891,192
EMA0000892,192
EMA0000893,192
EMA0000894,192
EMA0000895,192
EMA0000896,192
EMA0000897,192
EMA0000898,192
EMA0000899,192
EMA0000900,192
EMA0000901,192
EMA0000902,199
EMA0000903,10
EMA0000904,10
EMA0000905,10
EMA0000906,10
EMA0000907,10
EMA0000908,10
EMA0000909,10
EMA0000910,10
EMA0000911,10
EMA0000912,10
EMA0000913,200
EMA0000914,201
EMA0000915,202
EMA0000916,99
EMA0000917,203
EMA0000918,203
EMA0000919,204
EMA0000920,205
EMA0000921,206
EMA0000922,206
EMA0000923,207
EMA0000924,208
EMA0000925,209
EMA0000926,10
EMA0000927,10
EMA0000928,210
EMA0000929,187
EMA0000930,187
EMA0000931,10
EMA0000932,211
EMA0000933,211
EMA0000934,212
EMA0000935,211
EMA0000936,212
EMA0000937,213
EMA0000938,211
EMA0000939,214
EMA0000940,200
EMA0000941,200
EMA0000942,200
EMA0000943,200
EMA0000944,200
EMA0000945,201
EMA0000946,200
EMA0000947,200
EMA0000948,200
EMA0000949,200
EMA0000950,200
EMA0000951,215
EMA0000952,215
EMA0000953,193
EMA0000954,193
EMA0000955,193
EMA0000956,193
EMA0000957,216
EMA0000958,216
EMA0000959,216
EMA0000960,216
EMA0000961,216
EMA0000962,216
EMA0000963,217
EMA0000964,218
EMA0000965,219
EMA0000966,219
EMA0000967,204
EMA0000968,204
EMA0000969,204
EMA0000970,204
EMA0000971,204
EMA0000972,204
EMA0000973,204
EMA0000974,204
EMA0000975,204
EMA0000976,220
EMA0000977,220
EMA0000978,220
EMA0000979,220
EMA0000980,220
EMA0000981,220
EMA0000982,220
EMA0000983,205
EMA0000984,221
EMA0000985,206
EMA0000986,206
EMA0000987,206
EMA0000988,206
EMA0000989,206
EMA0000990,206
EMA0000991,206
EMA0000992,222
EMA0000993,223
EMA0000994,223
EMA0000995,223
EMA0000996,223
EMA0000997,224
EMA0000998,225
EMA0000999,10
EMA0001000,10
EMA0001001,10
EMA0001002,10
EMA0001003,10
EMA0001004,10
EMA0001005,10
EMA0001006,10
EMA0001007,10
EMA0001008,10
EMA0001009,226
EMA0001010,10
EMA0001011,10
EMA0001012,10
EMA0001013,10
EMA0001014,10
EMA0001015,10
EMA0001016,10
EMA0001017,10
EMA0001018,10
EMA0001019,10
EMA0001020,10
EMA0001021,10
EMA0001022,10
EMA0001023,187
EMA0001024,10
EMA0001025,10
EMA0001026,10
EMA0001027,10
EMA0001028,10
EMA0001029,10
EMA0001030,10
EMA0001031,10
EMA0001032,10
EMA0001033,10
EMA0001034,10
EMA0001035,10
EMA0001036,10
EMA0001037,10
EMA0001038,10
EMA0001039,10
EMA0001040,200
EMA0001041,200
EMA0001042,200
EMA0001043,200
EMA0001044,200
EMA0001045,201
EMA0001046,200
EMA0001047,200
EMA0001048,200
EMA0001049,200
EMA0001050,200
EMA0001051,200
EMA0001052,200
EMA0001053,200
EMA0001054,200
EMA0001055,200
EMA0001056,201
EMA0001057,200
EMA0001058,211
EMA0001059,211
EMA0001060,212
EMA0001061,211
EMA0001062,212
EMA0001063,211
EMA0001064,212
EMA0001065,211
EMA0001066,212
EMA0001067,200
EMA0001068,200
EMA0001069,201
EMA0001070,212
EMA0001071,211
EMA0001072,211
EMA0001073,227
EMA0001074,211
EMA0001075,211
EMA0001076,211
EMA0001077,212
EMA0001078,211
EMA0001079,213
EMA0001080,212
EMA0001081,211
EMA0001082,211
EMA0001083,211
EMA0001084,211
EMA0001085,213
EMA0001086,212
EMA0001087,211
EMA0001088,211
EMA0001089,211
EMA0001090,211
EMA0001091,211
EMA0001092,211
EMA0001093,213
EMA0001094,211
EMA0001095,211
EMA0001096,212
EMA0001097,211
EMA0001098,211
EMA0001099,211
EMA0001100,212
EMA0001101,211
EMA0001102,213
EMA0001103,227
EMA0001104,211
EMA0001105,211
EMA0001106,211
EMA0001107,212
EMA0001108,211
EMA0001109,211
EMA0001110,200
EMA0001111,200
EMA0001112,200
EMA0001113,200
EMA0001114,200
EMA0001115,200
EMA0001116,202
EMA0001117,202
EMA0001118,202
EMA0001119,225
EMA0001120,225
EMA0001121,225
EMA0001122,225
EMA0001123,225
EMA0001124,225
EMA0001125,225
EMA0001126,215
EMA0001127,215
EMA0001128,215
EMA0001129,215
EMA0001130,228
EMA0001131,229
EMA0001132,193
EMA0001133,230
EMA0001134,193
EMA0001135,230
EMA0001136,193
EMA0001137,230
EMA0001138,193
EMA0001139,193
EMA0001140,193
EMA0001141,230
EMA0001142,194
EMA0001143,216
EMA0001144,216
EMA0001145,217
EMA0001146,99
EMA0001147,99
EMA0001148,99
EMA0001149,99
EMA0001150,99
EMA0001151,99
EMA0001152,99
EMA0001153,99
EMA0001154,99
EMA0001155,99
EMA0001156,99
EMA0001157,99
EMA0001158,99
EMA0001159,99
EMA0001160,231
EMA0001161,99
EMA0001162,99
EMA0001163,99
EMA0001164,99
EMA0001165,99
EMA0001166,99
EMA0001167,99
EMA0001168,99
EMA0001169,99
EMA0001170,99
EMA0001171,99
EMA0001172,99
EMA0001173,99
EMA0001174,232
EMA0001175,99
EMA0001176,99
EMA0001177,99
EMA0001178,99
EMA0001179,99
EMA0001180,99
EMA0001181,99
EMA0001182,99
EMA0001183,99
EMA0001184,232
EMA0001185,218
EMA0001186,233
EMA0001187,218
EMA0001188,218
EMA0001189,218
EMA0001190,218
EMA0001191,234
EMA0001192,234
EMA0001193,204
EMA0001194,204
EMA0001195,204
EMA0001196,204
EMA0001197,204
EMA0001198,204
EMA0001199,204
EMA0001200,204
EMA0001201,204
EMA0001202,204
EMA0001203,204
EMA0001204,235
EMA0001205,220
EMA0001206,220
EMA0001207,220
EMA0001208,220
EMA0001209,220
EMA0001210,220
EMA0001211,220
EMA0001212,220
EMA0001213,220
EMA0001214,104
EMA0001215,236
EMA0001216,236
EMA0001217,236
EMA0001218,236
EMA0001219,236
EMA0001220,104
EMA0001221,237
EMA0001222,236
EMA0001223,236
EMA0001224,104
EMA0001225,104
EMA0001226,205
EMA0001227,205
EMA0001228,205
EMA0001229,206
EMA0001230,205
EMA0001231,206
EMA0001232,205
EMA0001233,206
EMA0001234,206
EMA0001235,206
EMA0001236,206
EMA0001237,206
EMA0001238,206
EMA0001239,206
EMA0001240,205
EMA0001241,206
EMA0001242,205
EMA0001243,206
EMA0001244,206
EMA0001245,206
EMA0001246,206
EMA0001247,206
EMA0001248,206
EMA0001249,206
EMA0001250,238
EMA0001251,239
EMA0001252,240
EMA0001253,241
EMA0001254,202
EMA0001255,242
EMA0001256,243
EMA0001257,244
EMA0001258,193
EMA0001259,193
EMA0001260,193
EMA0001261,245
EMA0001262,246
EMA0001263,247
EMA0001264,248
EMA0001265,249
EMA0001266,250
EMA0001267,251
EMA0001268,190
EMA0001269,252
EMA0001270,193
EMA0001271,193
EMA0001272,192
EMA0001273,192
EMA0001274,192
EMA0001275,192
EMA0001276,192
EMA0001277,253
EMA0001278,254
EMA0001279,255
EMA0001280,256
EMA0001281,255
EMA0001282,257
EMA0001283,254
EMA0001284,251
EMA0001285,251
EMA0001286,251
EMA0001287,258
EMA0001288,259
EMA0001289,260
EMA0001290,261
EMA0001291,262
EMA0001292,263
EMA0001293,199
EMA0001294,199
EMA0001295,199
EMA0001296,199
EMA0001297,199
EMA0001298,199
EMA0001299,199
EMA0001300,199
EMA0001301,192
EMA0001302,192
EMA0001303,196
EMA0001304,10
EMA0001305,192
EMA0001306,205
EMA0001307,263
EMA0001308,264
EMA0001309,200
EMA0001310,201
EMA0001311,265
EMA0001312,266
EMA0001313,267
EMA0001314,192
EMA0001315,192
EMA0001316,268
EMA0001317,269
EMA0001318,154
EMA0001319,154
EMA0001320,270
EMA0001321,29
EMA0001322,271
EMA0001323,271
EMA0001324,272
EMA0001325,272
EMA0001326,272
EMA0001327,272
EMA0001328,273
EMA0001329,274
EMA0001330,275
EMA0001331,276
EMA0001332,269
EMA0001333,269
EMA0001334,269
EMA0001335,271
EMA0001336,277
EMA0001337,269
EMA0001338,269
EMA0001339,277
EMA0001340,278
EMA0001341,269
EMA0001342,269
EMA0001343,234
EMA0001344,234
EMA0001345,279
EMA0001346,280
EMA0001347,281
EMA0001348,132
EMA0001349,282
EMA0001350,282
EMA0001351,283
EMA0001352,284
EMA0001353,40
EMA0001354,285
EMA0001355,286
EMA0001356,287
EMA0001357,287
EMA0001358,288
EMA0001359,289
EMA0001360,290
EMA0001361,291
EMA0001362,292
EMA0001363,293
EMA0001364,294
EMA0001365,295
EMA0001366,296
EMA0001367,297
EMA0001368,298
EMA0001369,299
EMA0001370,121
EMA0001371,300
EMA0001372,301
EMA0001373,302
EMA0001374,303
EMA0001375,302
EMA0001376,302
EMA0001377,303
EMA0001378,302
EMA0001379,302
EMA0001380,303
EMA0001381,302
EMA0001382,302
EMA0001383,303
EMA0001384,302
EMA0001385,302
EMA0001386,122
EMA0001387,276
EMA0001388,304
EMA0001389,305
EMA0001390,306
EMA0001391,127
EMA0001392,307
EMA0001393,308
EMA0001394,309
EMA0001395,310
EMA0001396,311
EMA0001397,312
EMA0001398,313
EMA0001399,314
EMA0001400,315
EMA0001401,314
EMA0001402,200
EMA0001403,316
EMA0001404,317
EMA0001405,318
EMA0001406,319
EMA0001407,129
EMA0001408,320
EMA0001409,319
EMA0001410,321
EMA0001411,321
EMA0001412,320
EMA0001413,322
EMA0001414,323
EMA0001414,324
EMA0001415,325
EMA0001416,325
EMA0001417,322
EMA0001418,323
EMA0001418,324
EMA0001419,326
EMA0001420,327
EMA0001421,327
EMA0001422,328
EMA0001423,329
EMA0001424,330
EMA0001425,331
EMA0001426,331
EMA0001427,331
EMA0001428,331
EMA0001429,331
EMA0001430,332
EMA0001431,333
EMA0001432,334
EMA0001433,75
EMA0001434,64
EMA0001435,24
EMA0001436,54
EMA0001437,68
EMA0001438,335
EMA0001439,133
EMA0001440,334
EMA0001441,336
EMA0001442,337
EMA0001443,338
EMA0001444,339
EMA0001445,340
EMA0001446,319
EMA0001447,341
EMA0001448,342
EMA0001449,343
EMA0001450,344
EMA0001451,345
EMA0001452,316
EMA0001453,346
EMA0001454,347
EMA0001455,346
EMA0001456,346
EMA0001457,192
EMA0001458,192
EMA0001459,348
EMA0001460,349
EMA0001461,350
EMA0001462,351
EMA0001463,352
EMA0001463,122
EMA0001464,353
EMA0001464,122
EMA0001465,354
EMA0001466,122
EMA0001467,352
EMA0001467,122
EMA0001468,122
EMA0001469,352
EMA0001469,354
EMA0001470,352
EMA0001470,122
EMA0001471,354
EMA0001472,122
EMA0001473,122
EMA0001474,354
EMA0001475,122
EMA0001476,122
EMA0001477,122
EMA0001478,353
EMA0001478,354
EMA0001479,352
EMA0001479,354
EMA0001480,122
EMA0001481,122
EMA0001482,122
EMA0001483,352
EMA0001483,354
EMA0001484,355
EMA0001485,356
EMA0001486,357
EMA0001487,358
EMA0001488,359
EMA0001489,360
EMA0001490,360
EMA0001491,298
EMA0001492,361
EMA0001493,361
EMA0001494,361
EMA0001495,361
EMA0001496,361
EMA0001497,361
EMA0001498,361
EMA0001499,361
EMA0001500,361
EMA0001501,362
EMA0001502,190
EMA0001503,190
EMA0001504,362
EMA0001505,363
EMA0001506,364
EMA0001507,365
EMA0001508,366
EMA0001509,367
EMA0001510,368
EMA0001511,369
EMA0001512,369
EMA0001513,370
EMA0001514,371
EMA0001515,372
EMA0001516,373
EMA0001517,374
EMA0001518,368
EMA0001519,375
EMA0001520,272
EMA0001521,376
EMA0001522,377
EMA0001523,192
EMA0001524,192
EMA0001525,192
EMA0001526,192
EMA0001527,192
EMA0001528,192
EMA0001529,153
EMA0001530,378
EMA0001531,10
EMA0001532,226
EMA0001533,10
EMA0001534,192
EMA0001535,379
EMA0001536,75
EMA0001537,380
EMA0001538,93
EMA0001539,381
EMA0001540,382
