substance_id,substance_name
201,"Colecalciferol, Alendronate Sodium Trihydrate"
202,Ascorbic Acid
203,Thioctic Acid
204,Tranexamic Acid
205,Zoledronic Acid
206,Zoledronic Acid Monohydrate
207,Pantoprazole Sodium Sesquihydrate
208,Esomeprazole
209,Omeprazole
210,"D,l-Lysine Acetylsalicylate"
211,Alendronate Sodium Trihydrate
212,Alendronic Acid
213,Alendronate Sodium Monohydrate
214,Sodium Alendronate Trihydrate Ph. Eur.
215,Carglumic Acid
216,Fusidic Acid
217,Gadoteric Acid
218,Mycophenolic Acid
219,Tiaprofenic Acid
220,Ursodeoxycholic Acid
221,Anhydrous Zoledronic Acid
222,"Sodium Hydrogen Carbonate, Calcium Carbonate, Sodium Alginate"
223,"Potassium Hydrogen Carbonate, Sodium Alginate"
224,"Magnesium Carbonate Heavy, Calcium Carbonate"
225,Boric Acid
226,"Ascorbic Acid, Acetylsalicylic Acid"
227,Alendronate Sodium
228,"Sodium Picosulfate, Magnesium Oxide, Citric Acid"
229,"Clodronate Disodium Tetrahydrate, Lidocaine Hydrochloride"
230,"Folic Acid, Anhydrous"
231,Ibandronate Sodium Hydrate
232,Sodium Ibandronate
233,Mycophenolate Sodium
234,Salicylic Acid
235,Trichloroacetic Acid
236,"Valproic Acid, Sodium Valproate"
237,Valproic Acid
238,"Icosapent Ethyl, Docosahexaenoic Acid Ethyl Ester"
239,"Doconexent, Icosapent, Omega-3-Acid Ethyl Esters 90"
240,Omega-3-Acid Ethyl Esters 90
241,"Acidum Alpha-Ketoglutaricum D200, Acidum Alpha-Ketoglutaricum D30, Acidum Alpha-Ketoglutaricum D10"
242,"Acidum Cis-Aconiticum D30, Acidum Cis-Aconiticum D200, Acidum Cis-Aconiticum D10"
243,"Acidum Citricum D10, Acidum Citricum D200, Acidum Citricum D30"
244,"Acidum Malicum D200, Acidum Malicum D30, Acidum Malicum D10"
245,"Acidum Formicicum Dil D12, Acidum Formicicum Dil. D30, Acidum Formicicum Dil. D200"
246,"Acidum Fumaricum D200, Acidum Fumaricum D30, Acidum Fumaricum D10"
247,Nicotinic Acid
248,"Acidum Phosphoricum Dil. D30, Acidum Phosphoricum Dil. D200, Acidum Phosphoricum Dil. D12"
249,"Acidum Succinicum D10, Acidum Succinicum D200, Acidum Succinicum D30"
250,"Natrium Sulfuricum Dil. D12, Acidum Arsenicosum Dil. D8, Acidum Phosphoricum Dil. D12, Secale Cornutum Dil. D4"
251,Pantoprazole
252,Ferrous Gluconate
253,Rabeprazole Sodium
254,Buprenorphine
255,L-Methionine
256,Methionine
257,Mefenamic Acid
258,Phenoxymethylpenicillin
259,Diethylamine Salicylate
260,"Piperacillin Sodium, Tazobactam Sodium"
261,Escitalopram Oxalate
262,"Azelastine Hydrochloride, Fluticasone Propionate"
263,Pregabalin
264,Celecoxib
265,Clopidogrel
266,Ticlopidine Hydrochloride
267,Human Antithrombin
268,"Erythromycin, Tretinoin"
269,Isotretinoin
270,"Clindamycin, Tretinoin"
271,"Miconazole Nitrate, Benzoyl Peroxide"
272,Benzoyl Peroxide
273,"Clindamycin Phosphate, Benzoyl Peroxide, Hydrous"
274,Adapalene
275,Chlorhexidine Gluconate Solution Bp
276,Chlorhexidine Gluconate
277,"Erythromycin, Zinc Acetate"
278,"Adapalene, Anhydrous Benzoyl Peroxide"
279,"Magnesium Phosphoricum D8, Aconitum Napellus D4, Acidum Arsenicosum D30"
280,"Acidum Arsenicosum Dil. D30, Magnesium Phosphoricum Dil. D8, Gnaphalium Polycephalum Dil. D3, Aconitum Dil. D4, Citrullus Colocynthis Dil. D4"
281,"Gnaphalium Polycephalum Dil. D4, Magnesium Phosphoricum Dil. D8, Aconitum Dil. D6, Citrullus Colocynthis Dil. D4"
282,"Dextromethorphan Hydrobromide, Dexpanthenol"
283,Aconitum Napellus D30
284,Lidocaine Hydrochloride Monohydrate
285,Topiramate
286,Naphazoline Hydrochloride
287,"D-Camphor, Lavender Oil, Quarz Dil. D9 Oleos. (Hab, Vs. 8a Und 12j In Raffiniertem Erdnussöl), Aconitum Napellus E Tubere Ferm 33c Dil. D9 Oleos. (Hab, Vs. 33c Und 12j, In Raffiniertem Erdnussöl)"
288,"Aconitum Napellus E Tubere Ferm 33c Dil. D29 (Hab, Vs. 33c), Atropa Belladonna E Radice Ferm 33b Dil. D29 (Hab, Vs. 33b), Toxicodendron Quercifolium E Foliis Ferm 33d Dil. D29 (Hab, Vs. 33d)"
289,"Aconitum Napellus E Tubere W 5% (Hab, Vs. 12g Mit Nativem Olivenöl)"
290,Aconitum Napellus Rh Dil. D3
291,"Bryonia Trit. D 3, Ferrum Phosphoricum Trit D 2, Belladonna Trit. D3, Aconitum Trit. D3, Gelsemium Trit. D3"
292,"Aconitum Napellus E Tubere Ferm 33c Dil. D2 (Hab, Vs. 33c), Bryonia Cretica Ferm 33b Dil. D2, Cinchona Succirubra E Cortice Ferm 35b Dil. D1 (Hab, Vs. 35b), Eucalyptus Globulus E Foliis Ferm 33d Dil. D1 (Hab, Vs. 33d), Eupatorium Cannabinum Ex Herba Ferm "
293,"Aconitum Napellus E Tubere Ferm 33c Dil. D3 (Hab, Vs. 33c), Bryonia Cretica Ferm 33b Dil. D3, Cinchona Succirubra E Cortice Ferm 35b Dil. D2 (Hab, Vs. 35b), Eucalyptus Globulus E Foliis Ferm 33d Dil. D2 (Hab, Vs. 33d), Eupatorium Cannabinum Ex Herba Ferm "
294,"Eucalyptus Globulus Dil. D2, Aconitum Napellus Dil. D2, Aconitum Napellus Dil. D10, Aconitum Napellus Dil. D30, Aconitum Napellus Dil. D200, Eucalyptus Globulus Dil. D10, Eucalyptus Globulus Dil. D30, Psychotria Ipecacuanha Dil. D10, Psychotria Ipecacuanh"
295,Anhydrous Tiotropium Bromide
296,Tiotropium
297,Tiotropium Bromide
298,Tadalafil
299,Budesonide
300,Etoricoxib
301,Chloroquine
302,Water For Injection
303,Sterilised Water For Injections
304,"Pseudoephedrine Hydrochloride, Acrivastine"
305,Acrivastine
306,Phenoxymethylpenicillin Potassium
307,Nimesulide
308,Montelukast
309,Telmisartan
310,"Amlodipine, Telmisartan"
311,"Hydrochlorothiazide, Telmisartan"
312,"Arnica Montana C4, Cimicifuga Racemosa C4, Sanguinaria Canadensis C4, Nitroglycerinum C4, Lachesis C5"
313,Haemophilus Type B Conjugate Vaccine (Tetanus Toxoid Conjugate)
314,"Haemophilus Type B Conjugate Vaccine (Tetanus Toxoid Conjugate), Tetanus Protein"
315,"Tetanus Toxoid, Haemophilus Type B Conjugate Vaccine (Tetanus Toxoid Conjugate)"
316,"Charcoal, Activated"
317,"Papaverine Hydrochloride, Charcoal, Activated"
318,Doxycycline Monohydrate
319,"Dextromethorphan Hydrobromide, Pseudoephedrine Hydrochloride, Triprolidine Hydrochloride"
320,"Xylometazoline Hydrochloride, Dexpanthenol"
321,Xylometazoline Hydrochloride
322,"Pseudoephedrine Hydrochloride, Triprolidine Hydrochloride, Paracetamol"
323,"Diphenhydramine Hydrochloride, Paracetamol"
324,"Pseudoephedrine Hydrochloride, Paracetamol"
325,Sildenafil
326,Guaifenesin
327,"Fluorouracil, Salicylic Acid"
328,"Deanol Acetamidobenzoate, Hesperidin Methyl Chalcone, Magnesium Glycerophosphate"
329,Sodium Picosulfate
330,Lidocaine
331,Alteplase
332,Magnesium Pidolate
333,Modafinil
334,Morphine Sulfate
335,"Octenidine Dihydrochloride, Phenoxyethanol"
336,"Saccharomyces Cerevisiae Type D Extract, Sodium Disulfide"
337,"Sodium Sulfide Nonahydrate, Saccharomyces Cerevisiae"
338,"Sodium Sulfide Nonahydrate, Saccharomyces Cerevisiae Type D Extract"
339,"Promethazine Hydrochloride, Carbocisteine"
340,Carbocisteine
341,"Ascorbic Acid, Betacarotene, Biotin, Colecalciferol, Cyanocobalamin, Folic Acid, Nicotinamide, Phytomenadione, Pyridoxine, Riboflavin, Rutoside, Thiamine, Zinc, Calcium, Chromium, Copper, Iodine, Iron, Magnesium, Manganese, Pantothenic Acid, Phosphorus, S"
342,"Ascorbic Acid, Betacarotene, Biotin, Colecalciferol, Cyanocobalamin, Folic Acid, Nicotinamide, Pyridoxine, Riboflavin, Rutoside, Thiamine, Zinc, Calcium, Copper, Iron, Magnesium, Pantothenic Acid, Selenium, Retinol, Alpha-Tocopherol, Boron"
343,"Ascorbic Acid, Biotin, Colecalciferol, Cyanocobalamin, Folic Acid, Nicotinamide, Phytomenadione, Pyridoxine, Riboflavin, Rutoside, Thiamine, Glycine, Succinic Acid, Zinc, Calcium, Chromium, Copper, Iodine, Iron, Magnesium, Manganese, Pantothenic Acid, Pho"
344,"Ascorbic Acid, Biotin, Colecalciferol, Cyanocobalamin, Folic Acid, Nicotinamide, Phytomenadione, Pyridoxine, Riboflavin, Thiamine, Glycine, Succinic Acid, Zinc, Calcium, Chromium, Copper, Iodine, Iron, Magnesium, Manganese, Pantothenic Acid, Phosphorus, S"
345,"Ascorbic Acid, Biotin, Colecalciferol, Cyanocobalamin, Folic Acid, Nicotinamide, Pyridoxine, Riboflavin, Thiamine, Zinc, Calcium, Copper, Iron, Magnesium, Pantothenic Acid, Selenium, Retinol, Alpha-Tocopherol, Boron"
346,"Norethisterone Acetate, Estradiol"
347,"Norethisterone Acetate, Estradiol Hemihydrate"
348,"Aciclovir, Hydrocortisone"
349,Etofenamate
350,Pelargonium Sidoides Dc Root Liquid Extract
351,Hydrocortisone Sodium Phosphate
352,"Colecalciferol, Calcium Carbonate"
353,Calcium Carbonate
354,Risedronate Monosodium
355,"Atropine Sulfate, Sodium Hydrogen Carbonate, Peppermint Oil, Aluminium Hydroxide Gel, Dried, Calcium Carbonate, Magnesium Carbonate, Magnesium Trisilicate"
356,"Simeticone, Magnesium Hydroxide, Aluminium Hydroxide"
357,Pioglitazone
358,Pioglitazone Hydrochloride
359,Urokinase
360,Deproteinised Hemoderivative Of Calf Blood
361,Insulin Human
362,Naproxen Sodium
363,Cabergoline
364,"Hedera Helix Dry Extract, Ethanol 30%"
365,Benzydamine Hydrochloride
366,"Nitrous Oxide, Oxygen"
367,"Quinapril Hydrochloride, Hydrochlorothiazide"
368,Quinapril Hydrochloride
369,Ketorolac Trometamol
370,Galantamine
371,"Hypromellose, Sodium Chloride"
372,Nefopam
373,Nefopam Hydrochloride
374,Quinapril
375,Atracurium Besilate
376,Loperamide Hydrochloride
377,Denosumab
378,"Magnesium Hydroxide, Aluminium Hydroxide-Magnesium Carbonate Co-Dried Gel, Algeldrate"
379,"Adapalene, Benzoyl Peroxide, Hydrous"
380,Solifenacin Succinate
381,"Aluminium Phosphate, Diphtheria Toxoid, Tetanus Toxoid, Pertussis Toxoid, Pertussis Filamentous Haemagglutinin, Pertussis Pertactin, Pertussis Fimbrial Agglutinogens (Fim) 2 And 3"
382,"Aluminium Phosphate, Diphtheria Toxoid, Tetanus Toxoid, Pertussis Toxoid, Pertussis Filamentous Haemagglutinin, Pertussis Pertactin, Poliovirus (Inactivated) Type 3 (Saukett Strain), Poliovirus (Inactivated) Type 2 (Mef-1 Strain), Pertussis Fimbrial Agglu"
383,Doxazosin Mesilate
384,Dutasteride
385,Melatonin
386,Nifedipine
387,"Paracetamol, Thiocolchicoside"
388,"Ethinylestradiol, Etonogestrel"
389,Ceftobiprole Medocaril Sodium
390,Tramadol Hydrochloride
391,Temgicoluril
392,Colecalciferol
393,"Eleutherococci Radix Dry Extract (16-25:1), Extraction Solvent: Ethanol 30% (V/V)"
394,"Delapril Hydrochloride, Manidipine Dihydrochloride"
395,Diclofenac Sodium
396,Ropinirole
397,Finasteride
398,Loxapine
399,Tamsulosin Hydrochloride
400,"Tamsulosin Hydrochloride, Dutasteride"
401,Memantine Hydrochloride
402,Brentuximab Vedotin
403,Triamcinolone Acetonide
404,"Sodium Molybdate Dihydrate, Zinc Chloride, Ferric Chloride Hexahydrate, Potassium Iodide, Sodium Fluoride, Chromium Chloride Hexahydrate, Copper Chloride Dihydrate, Manganese Chloride Tetrahydrate, Sodium Selenite Anhydrous"
405,"Sodium Molybdate Dihydrate, Zinc Chloride, Ferric Chloride Hexahydrate, Potassium Iodide, Sodium Fluoride, Sodium Selenite, Chromium Chloride Hexahydrate, Copper Chloride Dihydrate, Manganese Chloride Tetrahydrate"
406,"Copper Gluconate, Manganese Gluconate, Potassium Iodide, Sodium Selenite, Zinc Gluconate"
407,"Copper Gluconate, Manganese Gluconate, Potassium Iodide, Sodium Selenite, Zinc Gluconate (Ph. Eur.)"
408,"Chromic Chloride, Copper Gluconate, Manganese Gluconate, Potassium Iodide, Sodium Fluoride, Sodium Molybdate, Sodium Selenite, Ferrous Gluconate Hydrate Ph.Eur., Zinc Gluconate (Ph. Eur.)"
409,Sodium Chloride
410,Potassium Chloride
411,Methylphenidate Hydrochloride
412,Ammonium Chloride
413,"Potassium Hydroxide, Dipotassium Hydrogen Phosphate Trihydrate"
414,Trometamol
415,"Fusidic Acid, Betamethasone"
416,"Disodium Phosphate Dihydrate, Potassium Dihydrogen Phosphate, Potassium Hydroxide"
417,Hyoscine Butylbromide
418,Ampicillin
419,"Desogestrel, Ethinylestradiol"
420,Prednisolone Sodium Phosphate
421,Riociguat
422,Adenosine
423,"Phytolacca Americana Dil. D4, Clematis Recta D1, Scrophularia Nodosa Ø"
424,"Adenosinum Triphosphoricum D200, Adenosinum Triphosphoricum D30, Adenosinum Triphosphoricum D6, Adenosinum Triphosphoricum D10"
425,"Ethinylestradiol, Levonorgestrel"
426,Amitriptyline Hydrochloride
427,Lanolin
428,Everolimus
429,Glyceryl Trinitrate
430,Camellia Sinensis
431,Trimetazidine Dihydrochloride
432,Dexamfetamine Sulfate
433,"Metformin Hydrochloride, Sitagliptin"
434,Sulfadiazine
435,Lisinopril Dihydrate
436,Nystatin
437,Dienogest
438,"Dienogest, Ethinylestradiol"
439,Lactose.
440,Dimethyl Fumarate
441,Tamoxifen
442,Tamoxifen Citrate
443,Sitagliptin
444,Desmopressin
445,Anastrozole
446,Lisdexamfetamine Dimesylate
447,Diltiazem Hydrochloride
448,"Polysorbate 80, Squalene, Split Influenza Virus (Inactivated) Of Strain A/Vietnam/1194/2004 (H5n1) Like Strain Used (Nibrg-14), Dl-Alpha-Tocopherol"
449,Sertraline Hydrochloride
450,"Berberis Vulgaris D12, Cardiospermum Halicacabum D12, Acidum Formicicum D12, Natrium Chloratum D12, Thryallis Glauca D12, Zincum Isovalerianicum D12"
451,"Calcium Carbonicum Hahnemanni D6, Delphinium Staphisagria D6, Calcium Fluoratum D6, Matricaria Recutita D4, Podophyllum Peltatum D6, Atropa Bella-Donna D8"
452,"Ambra Grisea D12, Argentum Nitricum D12, Kalium Bromatum D12, Phosphorus D12, Zincum Isovalerianicum D12"
453,"Acidum Formicicum D 6, Euphrasia 3c D4, Thryallis Glauca D12, Lobaria Pulmonaria D4, Allium Cepa D4, Schoenocaulon Officinale D4"
454,"Kalium Chloratum D6, Acidum Silicicum D6, Berberis Vulgaris D6, Thuja Occidentalis D4, Zincum Metallicum D12"
455,"Nicotiana Tabacum D12, Veratrum Album D4, Anamirta Cocculus D4, Argentum Nitricum D12, Strychnos Nux-Vomica D6"
456,Tenoxicam
457,Allopurinol
458,Tapentadol
459,"Ibuprofen, Paracetamol"
460,"Gelsemium Sempervirens Dil. D4, Schoenocaulon Officinale Dil. D3, Spigelia Anthelmia Dil. D 3, Menyanthes Trifoliata Dil. D3, Piper Methysticum Spag. Peka Dil. D8, Aconitum Napellus Dil. D12, Bryonia Spag. Peka Dil. D3, Semecarpus Anacardium Dil. D6"
461,"Naloxone Hydrochloride, Oxycodone Hydrochloride"
462,Dexketoprofen
463,Healing Earth
464,"Paracetamol, Propyphenazone, Caffeine"
465,Ibuprofen Lysine
466,"Adonis Vernalis Ferm 33d Dil. D2, Crataegus Laevigata/Monogyna E Foliis Et Fructibus Ferm 33d Dil. D2 (Hab, Vs. 33d)"
467,"Kalmia Latifolia Dil. D 2, Adonis Vernalis Dil. D4, Nerium Oleander Dil. D4, Cactus Dil. D2, Kalium Carbonicum Dil. D3, Crataegus Dil. D2"
468,Tacrolimus
469,Zolpidem Tartrate
470,Risperidone
471,Epinephrine
472,Epinephrine Bitartrate
473,Epinephrine Hydrochloride
474,Adrenaline Acid Tartrate Bp
475,Carbazochrome
476,Iodine (123i) Iobenguane
477,Doxorubicin Hydrochloride
478,Anagrelide
479,Levodropropizine
480,"Acidum Formicicum D8, Histaminum Dihydrochloricum D22, Histaminum Dihydrochloricum D8, Ledum Palustre D8, Acidum Sulfuricum D22, Arctium D8, Pix Liquida D10, Tellurium Metallicum D10, Histaminum Dihydrochloricum D12, Arnica Montana D6, Acidum Arsenicosum "
481,"Sulfur Trit. D 12, Strychnos Ignatii Trit. D6, Tellurium Metallicum Trit. D10, Acidum Arsenicosum Trit. D8, Acidum Formicicum Trit. D8, Acidum Sulfuricum Trit. D22, Arctium Trit. D8, Arnica Montana Trit. D6, Graphites Trit. D10, Histaminum Dihydrochloricu"
482,Lacosamide
483,Sugammadex
484,Tralokinumab
485,Donepezil Hydrochloride
486,Glycerol
487,"Senna Pods, Alexandrian"
488,"Cetylpyridinium Chloride, Guaifenesin"
489,Oxazepam
490,Octocog Alfa
491,Temozolomide
492,Fesoterodine
493,Eribulin Mesylate
494,Rurioctocog Alfa Pegol
495,Radamts13
496,Olanzapine
497,"Helium, Carbon Monoxide"
498,"Air, Medicinal"
499,Flunisolide
500,"Desloratadine, Pseudoephedrine Sulphate"
501,"Fluticasone Propionate, Salmeterol"
502,Desloratadine
503,Beclometasone Dipropionate
504,Beclometasone Dipropionate Anhydrous
505,Simeticone
506,Terbutaline Sulfate
507,"Dimeticone, Metoclopramide"
508,Salbutamol
509,Salbutamol Sulfate
510,Fluticasone Furoate
511,Bisacodyl
512,"Beclometasone Dipropionate, Formoterol Fumarate Dihydrate"
513,Isoflurane
514,Alpha-Escin
515,Escin
516,"Heparin Sodium, Diethylamine Salicylate, Escin"
517,"Dry Extract From Horse-Chestnut Equivalent To 1.1 - 2.5 G Fresh Seeds Corresponding To 50 Mg Aescin, Extraction Solvent: Ethanol 68% (V/V)"
518,Aesculus Hippocastanum L. Seed Dry Extract
519,"Hippocastani Corticis Extractum Siccum, Lidocaine Hydrochloride"
520,Aesculus Hippocastanum D2
521,"Arnica Montana Dil D2, Collinsonia Canadensis Dil. D1, Aesculus Hippocastanum Dil. D1, Carduus Marianus Dil. D1, Calcium Fluoratum Dil. D6"
522,"Aesculus Hippocastanum E Semine La 25% Sicc. (Hab, Vs. 12m), Borago Officinalis Ex Herba La 20% (Hab, Vs. 12c), Prunus Spinosa E Fructibus La 25% (Hab, Vs. 12o), Quercus Robur/Petraea E Cortice, Decoctum La 10% (Hab, Vs. 12k), Solidago Virgaurea Ex Herba "
