drug_id,drug_name
EMA0000091,Aban
EMA0000092,Abasaglar
EMA0000093,Abasaglar Kwikpen
EMA0000094,Abasaglar Tempo Pen
EMA0000095,Abatixent
EMA0000096,Abator
EMA0000097,Abattra
EMA0000098,Abavalex
EMA0000099,Abaxan
EMA0000100,Abba
EMA0000101,Abbonate
EMA0000102,Abboticin
EMA0000103,Abboticin
EMA0000104,Abboticin
EMA0000105,Abboticin
EMA0000106,Abboticin Es
EMA0000107,Abboticin Novum
EMA0000108,Abboticin Novum
EMA0000109,Abc Lokale Schmerz-Therapie Aktiv-Pflaster
EMA0000110,Abc Lokale Schmerz-Therapie Wärme
EMA0000111,Abc Lokale Schmerz-Therapie Wärme
EMA0000112,Abc Lokale Schmerz-Therapie Wärme-Pflaster
EMA0000113,Abc Lokale Schmerz-Therapie Wärme-Pflaster Mit Sensitiv-Vlies
EMA0000114,Abdine Cold Relief
EMA0000115,Abdine Hot Lemon Cold Relief
EMA0000116,Abdomilon N Für Erwachsene Und Heranwachsende Ab 12 Jahren
EMA0000117,Abdomin Citrus
EMA0000118,Abdomin Junior Med Nøytral Smak
EMA0000119,Abdomin Junior Neutral
EMA0000120,Abdomin Med Nøytral Smak
EMA0000121,Abdomin Med Sitrussmak
EMA0000122,Abdomin Neutral
EMA0000123,Abe
EMA0000124,Abeced
EMA0000125,Abecma
EMA0000126,Abecol
EMA0000127,Abelcet
EMA0000128,Abelcet Complejo Lipídico
EMA0000129,Abelcet Lipid Complex
EMA0000130,Abelcet Lipide Complex
EMA0000131,Abelfiz
EMA0000132,Abella
EMA0000133,Abemax
EMA0000134,Abendur
EMA0000135,Aberipra
EMA0000136,Abernil
EMA0000137,Abesart
EMA0000138,Abesyl
EMA0000139,Abevmy
EMA0000140,Abfentiq
EMA0000141,Abführ Sn
EMA0000142,Abführ Tee
EMA0000143,Abführ-Kapseln Rizinol
EMA0000144,Abführpulver
EMA0000145,Abführtee
EMA0000146,Abführtee N
EMA0000147,Abführtee-Sennesblätter N
EMA0000148,Abiano
EMA0000149,Abibam®
EMA0000150,Abicrem
EMA0000151,Abidalo
EMA0000152,Abidec Multivitamin
EMA0000153,Abidec Multivitamin
EMA0000154,Abidol
EMA0000155,Abietinsäure
EMA0000156,Abigerd
EMA0000157,Abik
EMA0000158,Abilify
EMA0000159,Abilify Maintena
EMA0000160,Abilium
EMA0000161,Abimono
EMA0000162,Abimox
EMA0000163,Abinone
EMA0000164,Abioclav
EMA0000165,Abiostil
EMA0000166,Abiox
EMA0000167,Abipol
EMA0000168,Abiprost
EMA0000169,Abiprostem
EMA0000170,Abiral
EMA0000171,Abiranio
EMA0000172,Abirasolon-Mcrpc Kombipackung
EMA0000173,Abirasolon-Mhspc Kombipackung
EMA0000174,Abiratel
EMA0000175,"Abirateron ""olpha"""
EMA0000176,"Abirateron ""sandoz"""
EMA0000177,Abirateron +pharma
EMA0000178,Abirateron 123-Acurae Pharma
EMA0000179,Abirateron 1a Pharma
EMA0000180,Abirateron Abdi
EMA0000181,Abirateron Acino
EMA0000182,Abirateron Al
EMA0000183,Abirateron Alpha-Medical
EMA0000184,Abirateron Amarox
EMA0000185,Abirateron Aristo
EMA0000186,Abirateron Avansor
EMA0000187,Abirateron Axiromed
EMA0000188,Abirateron Beta
EMA0000189,Abirateron Betapharm
EMA0000190,Abirateron Bluepharma
EMA0000191,Abirateron Cf
EMA0000192,Abirateron Cipla
EMA0000193,Abirateron Devatis
EMA0000194,Abirateron Devatis
EMA0000195,Abirateron Eg
EMA0000196,Abirateron G.L.
EMA0000197,Abirateron Glenmark
EMA0000198,Abirateron Heumann
EMA0000199,Abirateron Hexal
EMA0000200,Abirateron Holsten
EMA0000201,Abirateron Leon Farma
EMA0000202,Abirateron Medac
EMA0000203,Abirateron Medical Valley
EMA0000204,Abirateron Msn
EMA0000205,Abirateron Normon
EMA0000206,Abirateron Pharmagen
EMA0000207,Abirateron Pharmascience
EMA0000208,Abirateron Polisano
EMA0000209,Abirateron Qilu
EMA0000210,Abirateron Ratiopharm
EMA0000211,Abirateron Sandoz
EMA0000212,Abiraterón Sandoz
EMA0000213,Abirateron Stada
EMA0000214,Abiraterón Stada
EMA0000215,Abirateron Sun
EMA0000216,Abirateron Synthon
EMA0000217,Abirateron Teva
EMA0000218,Abirateron Uropharm
EMA0000219,Abirateron Vipharm
EMA0000220,Abirateron Vivanta
EMA0000221,Abirateron Xiromed
EMA0000222,Abirateron Zentiva
EMA0000223,Abiraterona Bluepharma
EMA0000224,Abiraterona Cipla
EMA0000225,Abirateronă Dr. Reddy’s
EMA0000226,Abiraterona Dr. Reddys
EMA0000227,Abiraterona Efg Synthon
EMA0000228,Abiraterona Eugia
EMA0000229,Abiraterona Exeltis
EMA0000230,Abiraterona Farmoz
EMA0000231,Abiraterona Generis
EMA0000232,Abiraterona Glenmark
EMA0000233,Abiraterona Kern Pharma
EMA0000234,Abirateronă Lannacher
EMA0000235,Abiraterona Msn
EMA0000236,Abirateronă Msn
EMA0000237,Abiraterona Normon
EMA0000238,Abiraterona Olpha
EMA0000239,Abirateronă Pharmazac
EMA0000240,Abiraterona Polisano
EMA0000241,Abiraterona Qilu
EMA0000242,Abiraterona Sandoz
EMA0000243,Abiraterona Stada
EMA0000244,Abirateronä Stada
EMA0000245,Abirateronă Sun
EMA0000246,Abiraterona Tarbis
EMA0000247,Abiraterona Tecnigen
EMA0000248,Abiraterona Teva
EMA0000249,Abirateronă Teva
EMA0000250,Abiraterona Tronyl
EMA0000251,Abiraterona Zentiva
EMA0000252,Abirateronă Zentiva
EMA0000253,Abirateronacetaat Amarox
EMA0000254,Abirateronacetaat Eg (Eurogenerics) Nv
EMA0000255,Abirateronacetat
EMA0000256,Abirateronacetat Eg (Eurogenerics) Nv
EMA0000257,Abiraterone
EMA0000258,Abiraterone Abdi
EMA0000259,Abiraterone Abdi Farma
EMA0000260,Abiraterone Accord
EMA0000261,Abiraterone Acetate Zydus
EMA0000262,Abiraterone Agmed
EMA0000263,Abiraterone Amarox
EMA0000264,Abiraterone Aristo
EMA0000265,Abiraterone Ariti
EMA0000266,Abiraterone Arrow
EMA0000267,Abiraterone Ashcure
EMA0000268,Abiraterone Avansor
EMA0000269,Abiraterone Biogaran
EMA0000270,Abiraterone Clonmel
EMA0000271,Abiraterone Cristers
EMA0000272,Abiraterone Day Zero 500 Mg
EMA0000273,Abiraterone Eg
EMA0000274,Abiraterone Eugia
EMA0000275,Abiraterone Evolugen
EMA0000276,Abiraterone Faran
EMA0000277,Abiraterone Farmoz
EMA0000278,Abiraterone Film-Coated Tablets
EMA0000279,Abiraterone G.L.
EMA0000280,Abiraterone G.L. Pharma
EMA0000281,Abiraterone Genus Pharmaceuticals Ltd.
EMA0000282,Abiraterone Glenmark
EMA0000283,Abiraterone Glenmark Pharmaceuticals Europe
EMA0000284,Abiraterone Heaton
EMA0000285,Abiraterone Krka
EMA0000286,Abiraterone Medac
EMA0000287,Abiraterone Medical Valley
EMA0000288,Abiraterone Msn
EMA0000289,Abiraterone Msn Labs Europe Limited
EMA0000290,Abiraterone Mylan
EMA0000291,Abiraterone Norameda
EMA0000292,Abiraterone Olainfarm
EMA0000293,Abiraterone Olpha
EMA0000294,Abiraterone Olpha
EMA0000295,Abiraterone Pharmascience
EMA0000296,Abiraterone Pharmazac
EMA0000297,Abiraterone Pharmevid
EMA0000298,Abiraterone Qilu
EMA0000299,Abiraterone Qilu
EMA0000300,Abiraterone Qilu Pharma Spain
EMA0000301,Abiraterone Rafarm
EMA0000302,Abiraterone Ratiopharm
EMA0000303,Abiraterone Richter
EMA0000304,Abiraterone Rowa
EMA0000305,Abiraterone Sandoz
EMA0000306,Abiraterone Sandoz Gmbh
EMA0000307,Abiraterone Sapiens
EMA0000308,Abiraterone Stada
EMA0000309,Abiraterone Sun
EMA0000310,Abiraterone Sun Pharmaceutical Industries Europe
EMA0000311,Abiraterone Synthon
EMA0000312,Abiraterone Tecnigen
EMA0000313,Abiraterone Teva
EMA0000314,Abiraterone Teva Uk
EMA0000315,Abiraterone Torrent Pharma (Uk)
EMA0000316,Abiraterone Vipharm
EMA0000317,Abiraterone Vivanta
EMA0000318,Abiraterone Vivanta
EMA0000319,Abiraterone Vocate
EMA0000320,Abiraterone Wockhardt Uk
EMA0000321,Abiraterone Zentiva
EMA0000322,Abis
EMA0000323,Abisax
EMA0000324,Abix
EMA0000325,Abmetfina Xr
EMA0000326,Abnoba
EMA0000327,Abnobaviscum Abietis
EMA0000328,Abnobaviscum Abietis
EMA0000329,Abnobaviscum Amygdali
EMA0000330,Abnobaviscum Betulae
EMA0000331,Abnobaviscum Crataegi
EMA0000332,Abnobaviscum Crataegi
EMA0000333,Abnobaviscum Fraxini
EMA0000334,Abnobaviscum Fraxini
EMA0000335,Abnobaviscum Fraxini
EMA0000336,Abnobaviscum Fraxini
EMA0000337,Abnobaviscum Mali
EMA0000338,Abnobaviscum Pini
EMA0000339,Abnobaviscum Quercus
EMA0000340,Abnobaviscum Quercus
EMA0000341,Abnobaviscum Quercus
EMA0000342,Abolibe Forte
EMA0000343,A-Bomin
EMA0000344,Abormib
EMA0000345,Aboxoma
EMA0000346,Abradel
EMA0000347,Abrasone Rectal
EMA0000348,Abraxane
EMA0000349,Abrea
EMA0000350,Abriff
EMA0000351,Abrilar
EMA0000352,Abrilia
EMA0000353,Abrion
EMA0000354,Abrix
EMA0000355,Abrobion
EMA0000356,Abrysvo
EMA0000357,Abseamed
EMA0000358,Absenor
EMA0000359,Absenor Depot
EMA0000360,Absinthium D1 / Resina Laricis D3 Aa
EMA0000361,Absken
EMA0000362,Absorcol
EMA0000363,Abstral
EMA0000364,Abstral
EMA0000365,Abszess-Ilon
EMA0000366,Abt Strabo Blasen- Und Nierentee
EMA0000367,Abt Strabo Hals-Rachentee
EMA0000368,Abt Strabo Husten-Bronchialtee
EMA0000369,Abt Strabo Magen-Darmtee
EMA0000370,Abt Strabo Schlaf-Nerventee
EMA0000371,Abtard
EMA0000372,Abufene
EMA0000373,Abutrax
EMA0000374,Abuxar
EMA0000375,Abyca
EMA0000376,Acadimox
EMA0000377,Acalka
EMA0000378,Acamba
EMA0000379,Acamprosat Mylan
EMA0000380,Acamprosate Biogaran
EMA0000381,Acamprosate Generics [uk] Ltd
EMA0000382,Acamprosate Strandhaven Somex Pharma
EMA0000383,Acamprosate Viatris
EMA0000384,Acapril
EMA0000385,Acara
EMA0000386,Acara Trio
EMA0000387,Acarbosa Farmalider
EMA0000388,Acarbosa Qualigen
EMA0000389,Acarbosa Tarbis
EMA0000390,Acarbosa Tecnigen
EMA0000391,Acarbosa Viatris
EMA0000392,Acarbose Abz
EMA0000393,Acarbose Al
EMA0000394,Acarbose Arrow
EMA0000395,Acarbose Arrow Lab
EMA0000396,Acarbose Aurovitas
EMA0000397,Acarbose Berar Laboratórios Basi - Indústria Farmacêutica
EMA0000398,Acarbose Biogaran
EMA0000399,Acarbose Bluepharma
EMA0000400,Acarbose Crescent Pharma
EMA0000401,Acarbose Dura
EMA0000402,Acarbose Eg
EMA0000403,Acarbose Establix
EMA0000404,Acarbose Farmoz
EMA0000405,Acarbose Friulchem
EMA0000406,Acarbose Generics [uk]
EMA0000407,Acarbose Generics [uk] Ltd
EMA0000408,Acarbose Generis
EMA0000409,Acarbose Genevida
EMA0000410,Acarbose Glenmark Pharmaceuticals Europe
EMA0000411,Acarbose Morningside Healthcare
EMA0000412,Acarbose Mylan
EMA0000413,Acarbose Sandoz
EMA0000414,Acarbose Stada
EMA0000415,Acarbose Viatris
EMA0000416,Acarbose Zentiva
EMA0000417,Acarbosio Aurobindo
EMA0000418,Acarbosio Doc Generici
EMA0000419,Acarbosio Tecnigen
EMA0000420,Acard
EMA0000421,Acard Cor
EMA0000422,Acard Pro
EMA0000423,Acarden
EMA0000424,Acarilbial
EMA0000425,Acarizax
EMA0000426,Acarphage
EMA0000427,Acatar Acti Form
EMA0000428,Acatar Acti-Tabs
EMA0000429,Acatar Allergy
EMA0000430,Acatar Care
EMA0000431,Acatar Care Kids
EMA0000432,Acatar Control
EMA0000433,Acatar Mono
EMA0000434,Acatar Zatoki
EMA0000435,Acatar Zatoki Tabs
EMA0000436,Acc
EMA0000437,Acc Akut Hustenlöser
EMA0000438,Acc Akut Z Hustenlöser
EMA0000439,Acc Classic
EMA0000440,Acc Cu Aroma De Mure
EMA0000441,Acc Direkt
EMA0000442,Acc Direkt Hexal Ag
EMA0000443,Acc Fluidificante E Antidoto
EMA0000444,Acc Hexal Ag
EMA0000445,Acc Hot
EMA0000446,Acc Injekt
EMA0000447,Acc Junior
EMA0000448,Acc Kindersaft
EMA0000449,Acc Kindersaft Hexal Ag
EMA0000450,Acc Lămâie Şi Miere
EMA0000451,Acc Long
EMA0000452,Acc Long Instant
EMA0000453,Acc Neo
EMA0000454,Acc Optima
EMA0000455,Acc Optima Active
EMA0000456,Acc Tabs
EMA0000457,Accarizax
EMA0000458,Accofil
EMA0000459,Accrete D3
EMA0000460,Accrete D3 One A Day
EMA0000461,Accupaque
EMA0000462,Accusol 35
EMA0000463,Accusol 35
EMA0000464,Accusol 35
EMA0000465,Accusol 35 Kalium
EMA0000466,Accusol 35 Potassium
EMA0000467,Accusol 35 Potassium
EMA0000468,Accusol Con Potassio 35
EMA0000469,Accu-Thyrox
EMA0000470,Acea
EMA0000471,Acebis
EMA0000472,Acebutolol Almus
EMA0000473,Acebutolol Arrow Lab
EMA0000474,Acebutolol Biogaran
EMA0000475,Acebutolol Cristers
EMA0000476,Acebutolol Eg
EMA0000477,Acebutolol Eg
EMA0000478,Acebutolol Gedeon Richter
EMA0000479,Acebutolol Hydrochloride Aurobindo
EMA0000480,Acebutolol Lp Zentiva
EMA0000481,Acebutolol Milpharm
EMA0000482,Acebutolol Sandoz
EMA0000483,Acebutolol Teva
EMA0000484,Acebutolol Viatris
EMA0000485,Acebutolol Zentiva
EMA0000486,Acebutolol Zydus
EMA0000487,Acecardin
EMA0000488,Aceclofen
EMA0000489,Aceclofenac Accord
EMA0000490,Aceclofenac Accord Healthcare
EMA0000491,Aceclofenac Alter
EMA0000492,Aceclofenac Biogaran
EMA0000493,Aceclofenac Double-E Pharma
EMA0000494,Aceclofenac Eg
EMA0000495,Aceclofenac Eg Labo
EMA0000496,Aceclofenac Generis
EMA0000497,Aceclofenac Mylan
EMA0000498,Aceclofenac Orion
EMA0000499,Aceclofenac Ratiopharm
EMA0000500,Aceclofenac Rivopharm
EMA0000501,Aceclofenac Rivopharm Uk
EMA0000502,Aceclofenac Viatris
EMA0000503,Aceclofenac Zentiva
EMA0000504,Aceclofenaco Cinfa
EMA0000505,Aceclofenaco Kern Pharma
EMA0000506,Aceclofenaco Normon
EMA0000507,Aceclofenaco Stada
EMA0000508,Aceclofenaco Vir
EMA0000509,Aceclonac
EMA0000510,Acecomb
EMA0000511,Acecomb Mite
EMA0000512,Acecomb Semi
EMA0000513,Acecor
EMA0000514,Acecor
EMA0000515,Acecort
EMA0000516,Acediur
EMA0000517,Acediur
EMA0000518,Acedol
EMA0000519,Aceduo
EMA0000520,Acefa
EMA0000521,Aceflucil
EMA0000522,Ace-Hemmer
EMA0000523,Ace-Hemmer Comp.
EMA0000524,Aceite De Ricino Reig Jofre
EMA0000525,Aceklik
EMA0000526,Acelisino Comp. Forte
EMA0000527,Acelisino Comp. Mite
EMA0000528,Acelisino Comp. Semi
EMA0000529,Acelopam
EMA0000530,Acelyn
EMA0000531,Acemap
EMA0000532,Acemetacin Heumann
EMA0000533,Acemetacin Stada
EMA0000534,Acemetax
EMA0000535,Acemin
EMA0000536,Acemis
EMA0000537,Acemit
EMA0000538,Acenam
EMA0000539,Acenocoumarol Aurobindo
EMA0000540,Acenocoumarol Cf
EMA0000541,Acenocumarol Aurovitas
EMA0000542,Acenocumarol Generis
EMA0000543,Acenocumarol Wzf
EMA0000544,Aceomel
EMA0000545,Aceoto
EMA0000546,Aceoto Plus
EMA0000547,Acepiro
EMA0000548,Aceponato De Metilprednisolona Aristo
EMA0000549,Acepramin
EMA0000550,Aceprotin
EMA0000551,Acepurin
EMA0000552,Acerbine
EMA0000553,Acercomp
EMA0000554,Acerin
EMA0000555,Acerin Pro
EMA0000556,Acerycal
EMA0000557,Acesan
EMA0000558,Acesil
EMA0000559,Acesil T
EMA0000560,Acesil Tamponat
EMA0000561,Acesistem
EMA0000562,Acetamol
EMA0000563,Acetamol Adulti
EMA0000564,Acetamol Bambini
EMA0000565,Acetamol Prima Infanzia
EMA0000566,Acetan
EMA0000567,Acetar
EMA0000568,Acetat De Terlipresină Ever Pharma
EMA0000569,Acétate D'abiratérone. Eg (Eurogenerics) Sa
EMA0000570,Acetate De Cyproterone Arrow
EMA0000571,Acetate De Terlipressine Ever Pharma
EMA0000572,Acetato De Eslicarbazepina Alter
EMA0000573,Acetato De Eslicarbazepina Aristo
EMA0000574,Acetato De Eslicarbazepina Generis
EMA0000575,Acetato De Eslicarbazepina Jubilant
EMA0000576,Acetato De Eslicarbazepina Meditop 800 Mg Comprimidos
EMA0000577,Acetato De Eslicarbazepina Mylan Pharma
EMA0000578,Acetato De Eslicarbazepina Pentafarma
EMA0000579,Acetato De Eslicarbazepina Pharmakern
EMA0000580,Acetato De Glatirâmero Viatris
EMA0000581,Acetato De Potasio B.Braun
EMA0000582,Acetato Sódico Fresenius Kabi
EMA0000583,Acetazolamid Agepha
EMA0000584,Acetazolamida Arena
EMA0000585,Acetazolamide
EMA0000586,Acetazolamide Blumont Pharma
EMA0000587,Acetazolamide Crescent
EMA0000588,Acetazolamide Crescent Pharma
EMA0000589,Acetazolamide Dawa
EMA0000590,Acetazolamide Mercury Pharma
EMA0000591,Acetazolamide Mercury Pharmaceuticals
EMA0000592,Acetazolamide Mercury Pharmaceuticals
EMA0000593,Acetazolamide Morningside Healthcare
EMA0000594,Acetazolamide Remedica
EMA0000595,Acetazolamide Tillomed
EMA0000596,Acetazolamide Ι.Φ.Ε.Τ.
EMA0000597,Acetensil
EMA0000598,Acetensil Plus
EMA0000599,Aceterin
EMA0000600,Aceterin Express
EMA0000601,Acetilcisteína Abex
EMA0000602,Acetilcisteina Alter
EMA0000603,Acetilcisteína Alter
EMA0000604,Acetilcisteină Arena
EMA0000605,Acetilcisteina Aristo
EMA0000606,Acetilcisteina Aurobindo Italia
EMA0000607,Acetilcisteína Aurovitas
EMA0000608,Acetilcisteina Azevedos
EMA0000609,Acetilcisteína Azevedos
EMA0000610,Acetilcisteína Bexal
EMA0000611,Acetilcisteína Bluepharma
EMA0000612,Acetilcisteina Cinfa
EMA0000613,Acetilcisteína Cinfa
EMA0000614,Acetilcisteina Coop
EMA0000615,Acetilcisteina Doc
EMA0000616,Acetilcisteina Doc Generici
EMA0000617,Acetilcisteina Eg
EMA0000618,Acetilcisteína Exxelir
EMA0000619,Acetilcisteína Farmasierra
EMA0000620,Acetilcisteína Farmoz
EMA0000621,Acetilcisteína Generis
EMA0000622,Acetilcisteína Genkern
EMA0000623,Acetilcisteina Hexal A/S
EMA0000624,Acetilcisteina Hexal Ag
EMA0000625,Acetilcisteína Kern Pharma
EMA0000626,Acetilcisteină Laropharm
EMA0000627,Acetilcisteína Mabo
EMA0000628,Acetilcisteína Normon
EMA0000629,Acetilcisteina Pensa
EMA0000630,Acetilcisteína Pensa
EMA0000631,Acetilcisteína Pharmakern
EMA0000632,Acetilcisteina Ratiopharm
EMA0000633,Acetilcisteina Rompharm
EMA0000634,Acetilcisteína Sandoz
EMA0000635,Acetilcisteina Sandoz Care
EMA0000636,Acetilcisteína Stada
EMA0000637,Acetilcisteina Tarbis
EMA0000638,Acetilcisteina Teva
EMA0000639,Acetilcisteina Viatris
EMA0000640,Acetilcisteína Vitória
EMA0000641,Acetilcisteină Zentiva
EMA0000642,Acetilcisteina Zentiva Lab
EMA0000643,Acetilcolina Cusí
EMA0000644,Acetilsalicilatna Kiselina Bausch Health
EMA0000645,Acetilsalicilatna Kiselina G.L. Pharma
EMA0000646,Acetilsalicilato De Lisina Labesfal
EMA0000647,Acetilsalicilna Kislina Krka
EMA0000648,Acetilsalicilna Kislina Lek
EMA0000649,Acetilsalicilna Kislina Sandoz
EMA0000650,Acetilsalicilo Rūgštis Sanitas
EMA0000651,Acetilsalicilo Rūgštis Stirol
EMA0000652,Acetilsalicilskābe Stirol
EMA0000653,Acetolyt
EMA0000654,Acetylcysteïhe Sanias
EMA0000655,Acetylcystein
EMA0000656,Acetylcystein 1a Farma
EMA0000657,Acetylcystein Al
EMA0000658,Acetylcystein Alternova
EMA0000659,Acetylcystein Dr.Max
EMA0000660,Acetylcystein Hexal
EMA0000661,Acetylcystein Sad
EMA0000662,Acetylcystein Sandoz
EMA0000663,Acetylcystein Viatris
EMA0000664,Acetylcysteine Ab
EMA0000665,Acetylcysteïne Alpex
EMA0000666,Acetylcysteine Alpex Adultes
EMA0000667,Acetylcysteine Arrow
EMA0000668,Acetylcysteïne Auro
EMA0000669,Acetylcysteïne Aurobindo
EMA0000670,Acetylcysteine Aurum Pharmaceuticals
EMA0000671,Acetylcysteine Biogaran Conseil
EMA0000672,Acetylcysteïne Birchwood
EMA0000673,Acetylcysteïne Bruis Teva
EMA0000674,Acetylcysteine Conseil Sans Sucre Zentiva
EMA0000675,Acetylcysteine Eg
EMA0000676,Acetylcysteine Ennogen Healthcare
EMA0000677,Acetylcysteine Ennogen Healthcare Limited
EMA0000678,Acetylcysteine Ennogen Ip
EMA0000679,Acetylcysteine Essential-Healthcare Ascot Laboratories (Ireland) Limited
EMA0000680,Acetylcysteine Ibsa
EMA0000681,Acetylcysteïne Leidapharm
EMA0000682,Acetylcysteine Linn
EMA0000683,Acetylcysteine Macure
EMA0000684,Acetylcysteïne Marel
EMA0000685,Acetylcysteine Ratiopharm
EMA0000686,Acetylcysteine Ridge Pharma
EMA0000687,Acetylcysteïne Rxt
EMA0000688,Acetylcysteïne Sam
EMA0000689,Acetylcysteine Sandoz
EMA0000690,Acetylcysteïne Sandoz
EMA0000691,Acetylcysteine Sandoz Conseil
EMA0000692,Acetylcysteïne Sanias
EMA0000693,Acetylcysteïne Sanias Aurobindo Pharma
EMA0000694,Acetylcysteine Sans Sucre Bgr Conseil
EMA0000695,Acetylcysteine Sans Sucre Eg Labo Conseil
EMA0000696,Acetylcysteine Sans Sucre Teva Conseil
EMA0000697,Acetylcysteine Teva
EMA0000698,Acetylcysteïne Teva
EMA0000699,Acetylcysteine Viatris Conseil
EMA0000700,Acetylcysteine Waymade
EMA0000701,Acetylcysteinum Flegamina
EMA0000702,Acetylleucine Biogaran
EMA0000703,Acetylleucine Teva
EMA0000704,Acetylleucine Viatris
EMA0000705,Acetylleucine Zentiva
EMA0000706,Acetylsalicylic Acid Aurobindo
EMA0000707,Acetylsalicylic Acid Bluefish
EMA0000708,Acetylsalicylic Acid Krka
EMA0000709,Acetylsalicylic Acid Marel
EMA0000710,Acetylsalicylic Acid Nvt
EMA0000711,Acetylsalicylic Acid Santa
EMA0000712,"Acetylsalicylic Acid, Paracetamol, Coffeïne Leidapharm"
EMA0000713,"Acetylsalicylic Acid, Paracetamol, Coffeïne Marel"
EMA0000714,Acetylsalicylique Viatris
EMA0000715,Acetylsalicylsäure Adgc
EMA0000716,Acetylsalicylsäure G.L .Pharma
EMA0000717,Acetylsalicylsäure G.L. Pharma
EMA0000718,Acetylsalicylsäure I.V. Panpharma
EMA0000719,Acetylsalicylsäure Panpharma
EMA0000720,Acetylsalicylsyra Abece
EMA0000721,Acetylsalicylsyra Evolan
EMA0000722,Acetylsalicylsyra G.L. Pharma
EMA0000723,Acetylsalicylsyra Teva
EMA0000724,Acetylsalicylsyre Teva
EMA0000725,Acetylsalicylzuur Cardio
EMA0000726,Acetylsalicylzuur Cardio Aurobindo
