+------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------+------+------------+
| icd10_code | icd10_description                                                                                                                                                                   | yr1  | yr2  | admissions |
| S09.0      | Τραυματισμός των αιμοφόρων αγγείων της κεφαλής, που δεν ταξινομείται αλλού                                                                                                          | 2025 | 2024 |         10 |
| T14.5      | Τραυματισμός αιμοφόρου(ων) αγγείου(ων) μη καθορισμένης περιοχής του σώματος                                                                                                         | 2025 | 2024 |          8 |
| S09        | Άλλοι και μη καθορισμένοι τραυματισμοί της κεφαλής                                                                                                                                  | 2026 | 2025 |          7 |
| I63        | Εγκεφαλικό έμφρακτο                                                                                                                                                                 | 2024 | 2023 |          6 |
| G40.7      | Petit mal, μη καθορισμένο, χωρίς κρίσεις grand mal.                                                                                                                                 | 2025 | 2024 |          5 |
| I63.1      | Εγκεφαλικό έμφρακτο από εμβολή των προεγκεφαλικών αρτηριών                                                                                                                          | 2025 | 2024 |          5 |
| G40.6      | Κρίσεις grand mal, μη καθορισμένες (με ή χωρίς petit mal)                                                                                                                           | 2025 | 2024 |          5 |
| G40.7      | Petit mal, μη καθορισμένο, χωρίς κρίσεις grand mal.                                                                                                                                 | 2026 | 2025 |          5 |
| S82.5      | Κάταγμα του έσω σφυρού                                                                                                                                                              | 2024 | 2023 |          5 |
| M17.4      | Άλλη δευτεροπαθής εκφυλιστική αρθρίτιδα του γόνατος, αμφοτερόπλευρη                                                                                                                 | 2024 | 2023 |          5 |
| M25.2      | Ασταθής άρθρωση                                                                                                                                                                     | 2025 | 2024 |          5 |
| M17.5      | Άλλη δευτεροπαθής εκφυλιστική αρθρίτιδα του γόνατος                                                                                                                                 | 2025 | 2024 |          6 |
| M16.2      | Εκφυλιστική αρθρίτιδα του ισχίου λόγω δυσπλαστικών ισχίων, αμφοτερόπλευρη                                                                                                           | 2026 | 2025 |          5 |
| J44        | Άλλη χρόνια αποφρακτική πνευμονοπάθεια                                                                                                                                              | 2024 | 2023 |          9 |
| J44.8      | Άλλη καθορισμένη χρόνια αποφρακτική πνευμονοπάθεια                                                                                                                                  | 2024 | 2023 |          7 |
| J45        | Άσθμα                                                                                                                                                                               | 2025 | 2024 |         12 |
| J18.9      | Πνευμονία, μη καθορισμένη                                                                                                                                                           | 2025 | 2024 |         34 |
| K80        | Χολολιθίαση                                                                                                                                                                         | 2025 | 2024 |          6 |
| K92.9      | Νόσημα του πεπτικού συστήματος, μη καθορισμένο                                                                                                                                      | 2025 | 2024 |          7 |
| K29.3      | Χρόνια επιπολής γαστρίτιδα                                                                                                                                                          | 2025 | 2024 |          6 |
| C71.5      | Εγκεφαλικής κοιλίας                                                                                                                                                                 | 2024 | 2023 |          5 |
| C50.2      | Άνω - έσω τεταρτημορίου του μαστού                                                                                                                                                  | 2024 | 2023 |          5 |
| C34.1      | Άνω λοβού, βρόγχου ή πνεύμονα                                                                                                                                                       | 2024 | 2023 |          7 |
| C18.1      | Σκωληκοειδούς απόφυσης                                                                                                                                                              | 2025 | 2024 |          6 |
| C50.3      | Κάτω - έσω τεταρτημορίου του μαστού                                                                                                                                                 | 2025 | 2024 |          6 |
| C50.5      | Κάτω - έξω τεταρτημορίου του μαστού                                                                                                                                                 | 2025 | 2024 |          5 |
| C34.3      | Κάτω λοβού, βρόγχου ή πνεύμονα                                                                                                                                                      | 2025 | 2024 |          9 |
| C50.2      | Άνω - έσω τεταρτημορίου του μαστού                                                                                                                                                  | 2025 | 2024 |          5 |
| C71.3      | Βρεγματικού λοβού                                                                                                                                                                   | 2026 | 2025 |          5 |
| J21        | Οξεία βρογχιολίτιδα                                                                                                                                                                 | 2024 | 2023 |         10 |
| H66.1      | Χρόνια σαλπιγγοτυμπανική πυώδης μέση ωτίτιδα                                                                                                                                        | 2024 | 2023 |         19 |
| F41.1      | Διαταραχή γενικευμένου άγχους                                                                                                                                                       | 2024 | 2023 |          7 |
| F20.8      | Άλλης μορφής σχιζοφρένεια                                                                                                                                                           | 2024 | 2023 |          8 |
| F20.2      | Κατατονική σχιζοφρένεια                                                                                                                                                             | 2024 | 2023 |          5 |
| F10        | Ψυχικές διαταραχές και διαταραχές συμπεριφοράς οφειλόμενες στη χρήση οινοπνευματωδών                                                                                                | 2025 | 2024 |         78 |
| F20.1      | Ηβηφρενική σχιζοφρένεια                                                                                                                                                             | 2025 | 2024 |          8 |
+------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------+------+------------+
