+--------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------+-----------------------+
| substance_id | substance_name                                                                                                                                                                                                                                                        | allergic_patient_count | containing_drug_count |
|         4711 | Dipyridamole Bp                                                                                                                                                                                                                                                       |                      1 |                     3 |
|         8420 | Magnesium Carbonate Heavy, Calcium Acetate                                                                                                                                                                                                                            |                      1 |                     3 |
|         8457 | Urtica Dioica                                                                                                                                                                                                                                                         |                      1 |                     3 |
|         1320 | Amiloride Hydrochloride                                                                                                                                                                                                                                               |                      1 |                     2 |
|         4649 | Anthocyanosidic Extract Of Vaccinium Myrtillus                                                                                                                                                                                                                        |                      1 |                     2 |
|         3552 | Ascorbic Acid, Biotin, Colecalciferol, Cyanocobalamin, Dexpanthenol, Folic Acid, Nicotinamide, Pyridoxine Hydrochloride, Retinol, Riboflavin Sodium Phosphate Dihydrate, Dl-Alpha-Tocopherol, Cocarboxylase Tetrahydrate                                              |                      1 |                     2 |
|         5641 | Benzylpenicillin Procaine                                                                                                                                                                                                                                             |                      1 |                     2 |
|         3418 | Betula, Corylus Avellana, Alnus                                                                                                                                                                                                                                       |                      1 |                     2 |
|         3494 | Ceftriaxone Disodium Salt Hemiheptahydrate, Lidocaine Hydrochloride                                                                                                                                                                                                   |                      1 |                     2 |
|        11202 | Chlorhexidine Gluconate, Tyrothricin, Lidocaine Hydrochloride                                                                                                                                                                                                         |                      1 |                     2 |
|         4617 | Diazepam Ph. Eur.                                                                                                                                                                                                                                                     |                      1 |                     2 |
|         5032 | Drospirenone, Estetrol                                                                                                                                                                                                                                                |                      1 |                     2 |
|        11536 | Dry Extract Of Horse-Chestnut (4.5-5.5:1), Extraction Solvent: Ethanol 50% V/V                                                                                                                                                                                        |                      1 |                     2 |
|          393 | Eleutherococci Radix Dry Extract (16-25:1), Extraction Solvent: Ethanol 30% (V/V)                                                                                                                                                                                     |                      1 |                     2 |
|         7569 | Hypothalamic Phospholipids                                                                                                                                                                                                                                            |                      1 |                     2 |
|         5710 | Iron, Ion (Fe3+)                                                                                                                                                                                                                                                      |                      1 |                     2 |
|         6288 | Mixture Of Allergen Extracts From Alopecurus Pratensis, Cynosurus Cristatus, Dactylis Glomerata, Lolium Perenne, Poa Pratensis, Anthoxanthum Odoratum, Festuca Pratensis, Agrostis Tenuis, Phleum Pratense, Bromus Spp., Arrhenatherum Elatius, Holcus Lanatus        |                      1 |                     2 |
|         1797 | Potassium Chloride, Sodium Chloride, Sodium Lactate                                                                                                                                                                                                                   |                      1 |                     2 |
|         4032 | Promestriene                                                                                                                                                                                                                                                          |                      1 |                     2 |
|         3534 | Pyritinol Hydrochloride                                                                                                                                                                                                                                               |                      1 |                     2 |
|         9618 | Ulmus, Corylus Avellana, Alnus, Populus Alba, Willow Pollen                                                                                                                                                                                                           |                      1 |                     2 |
|        11494 | Varicella Virus Oka/Merck Strain (Live, Attenuated)                                                                                                                                                                                                                   |                      1 |                     2 |
|         6256 | Aconitum Dil. D28, Asa Foetida Dil. D4, Gnaphalium Polycephalum Dil. D2, Rhododendron Dil. D2, Rhus Toxicodendron Dil. D28                                                                                                                                            |                      1 |                     1 |
|         8825 | Aganirsen                                                                                                                                                                                                                                                             |                      1 |                     1 |
|          911 | Allopurinol (Ph. Eur.)                                                                                                                                                                                                                                                |                      1 |                     1 |
|         3829 | Anhydrous Caffeine, Paracetamol Dc, Paracetamol Ph. Eur., Codeine Phosphate Ph.Eur.                                                                                                                                                                                   |                      1 |                     1 |
|         9379 | Ascorbic Acid, Calcium Pantothenate, Colecalciferol, Cyanocobalamin, Folic Acid, Nicotinamide, Riboflavin, Thiamine Nitrate, Pyridoxine Hydrochloride, Retinol, Phosphate                                                                                             |                      1 |                     1 |
|        11818 | Axicabtagene Ciloleucel                                                                                                                                                                                                                                               |                      1 |                     1 |
|        11533 | Bee Venom, Standard                                                                                                                                                                                                                                                   |                      1 |                     1 |
|         3218 | Benzocaine, Salicylic Acid                                                                                                                                                                                                                                            |                      1 |                     1 |
|         2588 | Benzoxonium Chloride                                                                                                                                                                                                                                                  |                      1 |                     1 |
|         2492 | Berberis Vulgaris, Planta Tota Rh Dil. D1, Urtica Urens, Planta Tota Rh Dil. D2                                                                                                                                                                                       |                      1 |                     1 |
|         5136 | Bryonia Cretica D8, Arnica Montana D6, Acidum Arsenicosum D10, Argentum Nitricum D10, Baptisia Tinctoria D6, Euphorbium D8, Aconitum Napellus D5, Cortisonum Aceticum D15, Hepar Sulfuris D12, Hydrargyrum Bichloratum D8, Lachesis D 12, Phosphorus D10, Pulsa       |                      1 |                     1 |
|         9823 | Bryonia Cretica Ferm 33b Dil. D5, Tartarus Stibiatus Dil. D7 Aquos. (Hab, Vs. 5b), Vivianit Dil. D7, Pulmo Bovis Gl Dil. D16 (Hab, Vs. 41a)                                                                                                                           |                      1 |                     1 |
|         3050 | Bryophyllum Argento Cultum Rh Dil. D2, Bryophyllum Argento Cultum Rh Dil. D3                                                                                                                                                                                          |                      1 |                     1 |
|         8072 | Buclizine Hydrochloride, Paracetamol, Codeine Phosphate Hemihydrate                                                                                                                                                                                                   |                      1 |                     1 |
|         3073 | Bupivacaine Hydrochloride Ph.Eur.                                                                                                                                                                                                                                     |                      1 |                     1 |
|          188 | Calcium-Sodium-Hydrogencitrate (6:6:3:7)                                                                                                                                                                                                                              |                      1 |                     1 |
|        10433 | Cassia Angustifolia                                                                                                                                                                                                                                                   |                      1 |                     1 |
|         5642 | Cassia Angustifolia Vahl. (Polvo De Hojas), Cassia Angustifolia Vahl. (Polvo De Frutos), Fucus Vesiculosus L. (Talos)                                                                                                                                                 |                      1 |                     1 |
|         5056 | Causticum D6, Rhododendron Aureum D4, Calcarea Phosphorica D12, Berberis Vulgaris D4, Solanum Dulcamara D6, Rhus Toxicodendron D12                                                                                                                                    |                      1 |                     1 |
|         4376 | Cinchocaine Hydrochloride, Dequalinium Chloride                                                                                                                                                                                                                       |                      1 |                     1 |
|         7775 | Cinis E Fructibus Avenae Sativae Cum Magnesio Phosphorico (1:1) Dil. D5 (Hab, Vs. 6), Formica Rufa Ex Animale Toto Gl Dil. D7 (Hab, Vs. 41c), Arnica Montana E Planta Tota Ferm 33c Dil. D2 (Hab, Vs. 33c)                                                            |                      1 |                     1 |
|         9617 | Citrus Aurantium                                                                                                                                                                                                                                                      |                      1 |                     1 |
|         2254 | Colibacillinum D12, Colibacillinum Nosode D200, Colibacillinum D30                                                                                                                                                                                                    |                      1 |                     1 |
|         4187 | Crataegus Extract From Blossoms, Leaves And Fruits (6 Mg/G Oligomeric Proanthocyanidins)                                                                                                                                                                              |                      1 |                     1 |
|        11410 | Dactylopius Coccus D2, Belladonna D3, Pulsatilla Pratensis D5, Arctostaphylos Uva-Ursi D1, Argentum Metallicum D8, Aconitum Napellus D3, Euphrasia Officinalis D3, Helleborus Niger D4                                                                                |                      1 |                     1 |
|         5295 | Dectaflur, Olaflur, Sodium Fluoride, Aminofluoride                                                                                                                                                                                                                    |                      1 |                     1 |
|         8615 | Dermatophagoides Pteronyssinus, Aluminium Hydroxide                                                                                                                                                                                                                   |                      1 |                     1 |
|        11768 | Dextromethorphan Hydrobromide, Paracetamol, Phenylpropanolamine Hydrochloride                                                                                                                                                                                         |                      1 |                     1 |
|         9055 | Dimeticone, Amylase, Lipase, Protease                                                                                                                                                                                                                                 |                      1 |                     1 |
|        11753 | Dry Extract Of Hawthorn Leaf And Flower (3.5-5:1), Extraction Solvent: Ethanol 90% (V/V), Hawthorn (Flowering Top Powder), Weißdornfrüchte-Pulver                                                                                                                     |                      1 |                     1 |
|         5205 | Ephedrine Sulfate                                                                                                                                                                                                                                                     |                      1 |                     1 |
|        10102 | Filipendula Ulmaria D12, Rhododendron Aureum D6, Ferrum Phosphoricum D6, Lithium Carbonicum D12, Strychnos Nux-Vomica D6, Natrium Sulfuricum D6                                                                                                                       |                      1 |                     1 |
|         7679 | Gefapixant                                                                                                                                                                                                                                                            |                      1 |                     1 |
|         2702 | Gelsemium Sempervirens Dil. D4, Strychnos Nux-Vomica Dil. D4, Platinum Metallicum Dil. D 10, Sepia Officinalis Dil. D 10, Spigelia Anthelmia Dil. D 3                                                                                                                 |                      1 |                     1 |
|         2778 | Gentian Root Tincture (1:3.0-4.0), Extraction Solvent: Ethanol 70 % V/V                                                                                                                                                                                               |                      1 |                     1 |
|         6183 | Glandula Suprarenalis Sinistra Bovis Gl Dil. D7 (Hab, Vs. 41a), Mercurius Vivus Dil. D14 Aquos.                                                                                                                                                                       |                      1 |                     1 |
|         4501 | Glyceryl Monooleate, Butylhydroxytoluene, Dl-Alpha-Tocopheryl Hydrogen Succinate, Paraffin Hard, Triglycerides, Medium Chain, Paraffin White Soft, Propylene Glycol, Sodium Benzoate, Citric Acid Anhydrous, Isopropyl Myristate, Magnesium Sulfate Heptahydrat       |                      1 |                     1 |
|         1576 | Glycyrrhiza Glabra L. Radix, Zingiber Officinale Rhizome, Curcumae Xanthorrhizae Rhizoma, Caffeine, Glycyrrhizic Acid, Camellia Sinensis, Melissa Officinalis L. Folium                                                                                               |                      1 |                     1 |
|         2512 | Human Fibrinogen, Calcium Chloride Dihydrate, Human Thrombin, Bovine Aprotinin, Human Coagulation Factor Xiii                                                                                                                                                         |                      1 |                     1 |
|         9593 | Lepidoglyphus Destructor Extract                                                                                                                                                                                                                                      |                      1 |                     1 |
|        11766 | Lobelia Inflata Dil. D4, Crataegus Mother Tincture                                                                                                                                                                                                                    |                      1 |                     1 |
|        10883 | Nafarelin Acetate                                                                                                                                                                                                                                                     |                      1 |                     1 |
|         7527 | Norepinephrine, Lidocaine Hydrochloride                                                                                                                                                                                                                               |                      1 |                     1 |
|         8696 | Nux Vomica Dil. D6                                                                                                                                                                                                                                                    |                      1 |                     1 |
|        11800 | Paeonia Lactiflora Root, Angelica Sinensis Root, Liquorice Root, Bupleurum Chinense Root, Atractylodes Macrocephala Root                                                                                                                                              |                      1 |                     1 |
|         8905 | Panax Ginseng D4, Cimicifuga Racemosa D3, Sepia Officinalis D8, Crocus Sativus D3, Turnera Diffusa D3                                                                                                                                                                 |                      1 |                     1 |
|        11955 | Paracetamol, Acetylsalicylic Acid, Caffeine, Codeine Phosphate Hemihydrate                                                                                                                                                                                            |                      1 |                     1 |
|         7365 | Paraffin White Soft, Liquid Paraffin                                                                                                                                                                                                                                  |                      1 |                     1 |
|         9842 | Phleum Pratense Pollen, Poa Pratensis Pollen, Lolium Perenne Pollen, Secale Cereale Pollen, Arrhenatherum Elatius Pollen, Holcus Lanatus Pollen, Anthoxanthum Odoratum Pollen, Agrostis Stolonifera Pollen, Dactylis Glomerata Pollen, Festuca Rubra Pollen, Be       |                      1 |                     1 |
|         6287 | Phleum Pratense, Dactylis Glomerata, Anthoxanthum Odoratum, Lolium Perenne, Poa Pratensis, Secale Cereale, Arrhenatherum Elatius, Agrostis Stolonifera Pollen, Festuca Rubra Pollen, Holcus Lanatus Pollen Extract                                                    |                      1 |                     1 |
|         9456 | Poliovirus Type 1, Strain Lsc, 2ab                                                                                                                                                                                                                                    |                      1 |                     1 |
|         8341 | Pressed Juice From Fresh Flowering St. John's Wort Herb (1 : 0.50 – 0.90)                                                                                                                                                                                             |                      1 |                     1 |
|         3667 | Proguanil Hydrochloride                                                                                                                                                                                                                                               |                      1 |                     1 |
|        11143 | Raltitrexed                                                                                                                                                                                                                                                           |                      1 |                     1 |
|         2546 | Recombinant Interferon Beta-1b                                                                                                                                                                                                                                        |                      1 |                     1 |
|         7695 | Smilax Utilis D6, Juglans Regia Dil. D3, Natrium Sulfuricum D4, Aranea Diadema D6, Calcium Phosphoricum D12, Ferrum Iodatum D12, Equisetum Hiemale D4, Fumaria Officinalis D4, Geranium Robertianum D4, Levothyroxinum D12, Myosotis Arvensis D3, Nasturtium Of       |                      1 |                     1 |
|         5700 | Sodium Ascorbate, Ferrous Sulfate Heptahydrate                                                                                                                                                                                                                        |                      1 |                     1 |
|         5757 | Sparsentan                                                                                                                                                                                                                                                            |                      1 |                     1 |
|        10913 | Tabacum Cupro Cultum Rh Dil. D3                                                                                                                                                                                                                                       |                      1 |                     1 |
|        11064 | Thuja Occidentalis E Summitatibus Ferm 33e Dil. D3 (Hab, Vs. 33e)                                                                                                                                                                                                     |                      1 |                     1 |
|        11311 | Thyme Liquid Extract                                                                                                                                                                                                                                                  |                      1 |                     1 |
|        11043 | Thymostimulin                                                                                                                                                                                                                                                         |                      1 |                     1 |
|         2106 | Tincture From Arnica Montana Flower (Der 1:20), Extraction Solvent: Ethanol 57.9% (V/V)                                                                                                                                                                               |                      1 |                     1 |
|         6928 | Tinzaparin                                                                                                                                                                                                                                                            |                      1 |                     1 |
