+-------------------+----------------+----------+--------------------+------------------------+---------------+--------------------+------------------+--------------+---------------------------------+--------------------------+----------------------+
| department_name   | admission_year | ken_code | insurance_provider | total_hospitalizations | avg_stay_days | mean_duration_days | total_extra_days | base_revenue | extra_revenue_due_to_mdn_excess | calculated_total_revenue | stored_total_revenue |
| Cardiology        |           2023 | Κ32Α     | EFKA               |                      2 |          6.50 |                  1 |               11 |    208600.00 |                      1147300.00 |               1355900.00 |           1355900.00 |
| Cardiology        |           2023 | Κ37Μ     | EFKA               |                      1 |         12.00 |                  6 |                6 |    119800.00 |                      1198020.00 |               1317820.00 |           1317820.00 |
| Cardiology        |           2023 | Κ09ΜΑ    | EFKA               |                      2 |          6.50 |                 10 |                0 |   1282600.00 |                            0.00 |               1282600.00 |           1282600.00 |
| Cardiology        |           2023 | Κ30Μ     | EFKA               |                      2 |         10.00 |                 11 |                0 |   1259000.00 |                            0.00 |               1259000.00 |           1259000.00 |
| Cardiology        |           2023 | Κ01Χ     | EFKA               |                      1 |          2.00 |                  3 |                0 |   1242000.00 |                            0.00 |               1242000.00 |           1242000.00 |
| Cardiology        |           2023 | Κ30Μ     | PRIVATE_B          |                      1 |         12.00 |                 11 |                1 |    629500.00 |                       572270.00 |               1201770.00 |           1201770.00 |
| Cardiology        |           2023 | Κ15Χ     | PRIVATE_A          |                      2 |          5.50 |                  2 |                7 |    402600.00 |                       704550.00 |               1107150.00 |           1107150.00 |
| Cardiology        |           2023 | Κ10Χ     | PRIVATE_A          |                      2 |          7.50 |                  4 |                8 |    544800.00 |                       544800.00 |               1089600.00 |           1089600.00 |
| Cardiology        |           2023 | Κ15Χ     | PRIVATE_B          |                      1 |          9.00 |                  2 |                7 |    201300.00 |                       704550.00 |                905850.00 |            905850.00 |
| Cardiology        |           2023 | Κ15Μ     | EFKA               |                      1 |         13.00 |                  4 |                9 |    272800.00 |                       613800.00 |                886600.00 |            886600.00 |
| Cardiology        |           2023 | Κ43Μ     | ARMED_FORCES       |                      1 |         12.00 |                  8 |                4 |    147100.00 |                       735520.00 |                882620.00 |            882620.00 |
| Cardiology        |           2023 | Κ32Χ     | EFKA               |                      2 |         11.50 |                  3 |               17 |    217800.00 |                       617100.00 |                834900.00 |            834900.00 |
| Cardiology        |           2023 | Κ10Μ     | ARMED_FORCES       |                      2 |          4.50 |                  8 |                0 |    833200.00 |                            0.00 |                833200.00 |            833200.00 |
| Cardiology        |           2023 | Κ17Μ     | EFKA               |                      1 |         13.00 |                  5 |                8 |    289200.00 |                       462720.00 |                751920.00 |            751920.00 |
| Cardiology        |           2023 | Κ21Μ     | EFKA               |                      2 |          6.50 |                 15 |                0 |    736000.00 |                            0.00 |                736000.00 |            736000.00 |
| Cardiology        |           2023 | Κ05Χ     | EFKA               |                      1 |         13.00 |                 13 |                0 |    727000.00 |                            0.00 |                727000.00 |            727000.00 |
| Cardiology        |           2023 | Κ16Χ     | PRIVATE_B          |                      1 |         13.00 |                  2 |               11 |    111800.00 |                       614900.00 |                726700.00 |            726700.00 |
| Cardiology        |           2023 | Κ44Α     | UNINSURED          |                      3 |          7.67 |                  1 |               20 |     93300.00 |                       622000.00 |                715300.00 |            715300.00 |
| Cardiology        |           2023 | Κ43Χ     | EFKA               |                      7 |          5.14 |                  2 |               22 |    277900.00 |                       436700.00 |                714600.00 |            714600.00 |
| Cardiology        |           2023 | Κ30Χ     | UNINSURED          |                      1 |          9.00 |                  6 |                3 |    447000.00 |                       223500.00 |                670500.00 |            670500.00 |
| Cardiology        |           2023 | Κ09ΜΑ    | PRIVATE_A          |                      1 |          4.00 |                 10 |                0 |    641300.00 |                            0.00 |                641300.00 |            641300.00 |
| Cardiology        |           2023 | Κ30Μ     | PRIVATE_A          |                      1 |         11.00 |                 11 |                0 |    629500.00 |                            0.00 |                629500.00 |            629500.00 |
| Cardiology        |           2023 | Κ30Μ     | UNINSURED          |                      1 |          6.00 |                 11 |                0 |    629500.00 |                            0.00 |                629500.00 |            629500.00 |
| Cardiology        |           2023 | Κ44Α     | EFKA               |                      2 |         10.00 |                  1 |               18 |     62200.00 |                       559800.00 |                622000.00 |            622000.00 |
| Cardiology        |           2023 | Κ30Χ     | PRIVATE_B          |                      1 |          8.00 |                  6 |                2 |    447000.00 |                       149000.00 |                596000.00 |            596000.00 |
| Cardiology        |           2023 | Κ18Χ     | EFKA               |                      2 |          5.00 |                  2 |                6 |    229200.00 |                       343800.00 |                573000.00 |            573000.00 |
| Cardiology        |           2023 | Κ02Α     | PRIVATE_B          |                      1 |          8.00 |                  4 |                4 |    284400.00 |                       284400.00 |                568800.00 |            568800.00 |
| Cardiology        |           2023 | Κ39Μ     | ARMED_FORCES       |                      1 |          8.00 |                  6 |                2 |    126800.00 |                       422660.00 |                549460.00 |            549460.00 |
| Cardiology        |           2023 | Κ12Μ     | ARMED_FORCES       |                      1 |          6.00 |                 11 |                0 |    546500.00 |                            0.00 |                546500.00 |            546500.00 |
| Cardiology        |           2023 | Κ36Μ     | EFKA               |                      4 |          6.75 |                  5 |                8 |    382800.00 |                       153120.00 |                535920.00 |            535920.00 |
| Cardiology        |           2023 | Κ45ΜΑ    | EFKA               |                      2 |          8.50 |                 10 |                2 |    485600.00 |                        48560.00 |                534160.00 |            534160.00 |
| Cardiology        |           2023 | Κ46Χ     | PRIVATE_B          |                      2 |         12.00 |                  2 |               20 |     88800.00 |                       444000.00 |                532800.00 |            532800.00 |
| Cardiology        |           2023 | Κ17Χ     | PRIVATE_B          |                      1 |          2.00 |                  1 |                1 |    261700.00 |                       261700.00 |                523400.00 |            523400.00 |
| Cardiology        |           2023 | Κ02Α     | PRIVATE_A          |                      1 |          7.00 |                  4 |                3 |    284400.00 |                       213300.00 |                497700.00 |            497700.00 |
| Cardiology        |           2023 | Κ21Χ     | EFKA               |                      1 |         13.00 |                  4 |                9 |    149400.00 |                       336150.00 |                485550.00 |            485550.00 |
| Cardiology        |           2023 | Κ41Μ     | EFKA               |                      1 |          6.00 |                 22 |                0 |    480100.00 |                            0.00 |                480100.00 |            480100.00 |
| Cardiology        |           2023 | Κ41Μ     | UNINSURED          |                      1 |         10.00 |                 22 |                0 |    480100.00 |                            0.00 |                480100.00 |            480100.00 |
| Cardiology        |           2023 | Κ12Χ     | UNINSURED          |                      1 |          5.00 |                  4 |                1 |    369400.00 |                        92350.00 |                461750.00 |            461750.00 |
| Cardiology        |           2023 | Κ46Μ     | EFKA               |                      3 |          6.00 |                  6 |                4 |    373500.00 |                        83000.00 |                456500.00 |            456500.00 |
| Cardiology        |           2023 | Κ36Χ     | EFKA               |                      3 |          8.00 |                  2 |               18 |    112200.00 |                       336600.00 |                448800.00 |            448800.00 |
| Cardiology        |           2023 | Κ32Μ     | PRIVATE_B          |                      2 |          8.00 |                  8 |                0 |    412400.00 |                            0.00 |                412400.00 |            412400.00 |
| Cardiology        |           2023 | Κ38Μ     | EFKA               |                      1 |         12.00 |                  4 |                8 |    128400.00 |                       256800.00 |                385200.00 |            385200.00 |
| Cardiology        |           2023 | Κ38Χ     | EFKA               |                      1 |          6.00 |                  1 |                5 |     62700.00 |                       313500.00 |                376200.00 |            376200.00 |
| Cardiology        |           2023 | Κ38Χ     | PRIVATE_A          |                      1 |          6.00 |                  1 |                5 |     62700.00 |                       313500.00 |                376200.00 |            376200.00 |
| Cardiology        |           2023 | Κ46Μ     | ARMED_FORCES       |                      2 |          9.00 |                  6 |                6 |    249000.00 |                       124500.00 |                373500.00 |            373500.00 |
| Cardiology        |           2023 | Κ21Μ     | ARMED_FORCES       |                      1 |         13.00 |                 15 |                0 |    368000.00 |                            0.00 |                368000.00 |            368000.00 |
| Cardiology        |           2023 | Κ21Μ     | PRIVATE_B          |                      1 |          5.00 |                 15 |                0 |    368000.00 |                            0.00 |                368000.00 |            368000.00 |
| Cardiology        |           2023 | Κ32Χ     | PRIVATE_A          |                      1 |         10.00 |                  3 |                7 |    108900.00 |                       254100.00 |                363000.00 |            363000.00 |
| Cardiology        |           2023 | Κ39Μ     | UNINSURED          |                      1 |          7.00 |                  6 |                1 |    126800.00 |                       211330.00 |                338130.00 |            338130.00 |
| Cardiology        |           2023 | Κ42Χ     | PRIVATE_B          |                      2 |          9.00 |                  5 |                8 |    186800.00 |                       149440.00 |                336240.00 |            336240.00 |
| Cardiology        |           2023 | Κ16Χ     | EFKA               |                      1 |          6.00 |                  2 |                4 |    111800.00 |                       223600.00 |                335400.00 |            335400.00 |
| Cardiology        |           2023 | Κ46Μ     | UNINSURED          |                      2 |          8.00 |                  6 |                4 |    249000.00 |                        83000.00 |                332000.00 |            332000.00 |
| Cardiology        |           2023 | Κ45ΜΑ    | UNINSURED          |                      1 |         13.00 |                 10 |                3 |    242800.00 |                        72840.00 |                315640.00 |            315640.00 |
| Cardiology        |           2023 | Κ44Α     | PRIVATE_A          |                      1 |         10.00 |                  1 |                9 |     31100.00 |                       279900.00 |                311000.00 |            311000.00 |
| Cardiology        |           2023 | Κ46Χ     | EFKA               |                      2 |          7.00 |                  2 |               10 |     88800.00 |                       222000.00 |                310800.00 |            310800.00 |
| Cardiology        |           2023 | Κ17Μ     | ARMED_FORCES       |                      1 |          5.00 |                  5 |                0 |    289200.00 |                            0.00 |                289200.00 |            289200.00 |
| Cardiology        |           2023 | Κ42Χ     | PRIVATE_A          |                      2 |          7.50 |                  5 |                5 |    186800.00 |                        93400.00 |                280200.00 |            280200.00 |
| Cardiology        |           2023 | Κ15Μ     | ARMED_FORCES       |                      1 |          3.00 |                  4 |                0 |    272800.00 |                            0.00 |                272800.00 |            272800.00 |
| Cardiology        |           2023 | Κ15Μ     | PRIVATE_A          |                      1 |          3.00 |                  4 |                0 |    272800.00 |                            0.00 |                272800.00 |            272800.00 |
| Cardiology        |           2023 | Κ42Μ     | EFKA               |                      1 |         13.00 |                 10 |                3 |    205400.00 |                        61620.00 |                267020.00 |            267020.00 |
| Cardiology        |           2023 | Κ42Μ     | PRIVATE_A          |                      1 |         13.00 |                 10 |                3 |    205400.00 |                        61620.00 |                267020.00 |            267020.00 |
| Cardiology        |           2023 | Κ36Μ     | PRIVATE_A          |                      2 |          6.00 |                  5 |                3 |    191400.00 |                        57420.00 |                248820.00 |            248820.00 |
| Cardiology        |           2023 | Κ36Μ     | UNINSURED          |                      2 |          6.50 |                  5 |                3 |    191400.00 |                        57420.00 |                248820.00 |            248820.00 |
| Cardiology        |           2023 | Κ44Α     | PRIVATE_B          |                      2 |          4.00 |                  1 |                6 |     62200.00 |                       186600.00 |                248800.00 |            248800.00 |
| Cardiology        |           2023 | Κ09Χ     | EFKA               |                      1 |          3.00 |                  3 |                0 |    238600.00 |                            0.00 |                238600.00 |            238600.00 |
| Cardiology        |           2023 | Κ18Χ     | ARMED_FORCES       |                      1 |          4.00 |                  2 |                2 |    114600.00 |                       114600.00 |                229200.00 |            229200.00 |
| Cardiology        |           2023 | Κ18Μ     | EFKA               |                      1 |          7.00 |                  7 |                0 |    222600.00 |                            0.00 |                222600.00 |            222600.00 |
| Cardiology        |           2023 | Κ46Μ     | PRIVATE_B          |                      1 |         10.00 |                  6 |                4 |    124500.00 |                        83000.00 |                207500.00 |            207500.00 |
| Cardiology        |           2023 | Κ32Μ     | ARMED_FORCES       |                      1 |          2.00 |                  8 |                0 |    206200.00 |                            0.00 |                206200.00 |            206200.00 |
| Cardiology        |           2023 | Κ32Μ     | PRIVATE_A          |                      1 |          2.00 |                  8 |                0 |    206200.00 |                            0.00 |                206200.00 |            206200.00 |
| Cardiology        |           2023 | Κ36Χ     | PRIVATE_A          |                      1 |         11.00 |                  2 |                9 |     37400.00 |                       168300.00 |                205700.00 |            205700.00 |
| Cardiology        |           2023 | Κ42Χ     | UNINSURED          |                      1 |         11.00 |                  5 |                6 |     93400.00 |                       112080.00 |                205480.00 |            205480.00 |
| Cardiology        |           2023 | Κ42Μ     | PRIVATE_B          |                      1 |          2.00 |                 10 |                0 |    205400.00 |                            0.00 |                205400.00 |            205400.00 |
| Cardiology        |           2023 | Κ42Μ     | UNINSURED          |                      1 |          7.00 |                 10 |                0 |    205400.00 |                            0.00 |                205400.00 |            205400.00 |
| Cardiology        |           2023 | Κ40Μ     | PRIVATE_B          |                      1 |          3.00 |                 10 |                0 |    200000.00 |                            0.00 |                200000.00 |            200000.00 |
| Cardiology        |           2023 | Κ36Μ     | ARMED_FORCES       |                      2 |          4.50 |                  5 |                0 |    191400.00 |                            0.00 |                191400.00 |            191400.00 |
| Cardiology        |           2023 | Κ36Χ     | ARMED_FORCES       |                      1 |         10.00 |                  2 |                8 |     37400.00 |                       149600.00 |                187000.00 |            187000.00 |
| Cardiology        |           2023 | Κ21Χ     | ARMED_FORCES       |                      1 |          5.00 |                  4 |                1 |    149400.00 |                        37350.00 |                186750.00 |            186750.00 |
| Cardiology        |           2023 | Κ16Χ     | ARMED_FORCES       |                      1 |          3.00 |                  2 |                1 |    111800.00 |                        55900.00 |                167700.00 |            167700.00 |
| Cardiology        |           2023 | Κ16Χ     | PRIVATE_A          |                      1 |          3.00 |                  2 |                1 |    111800.00 |                        55900.00 |                167700.00 |            167700.00 |
| Cardiology        |           2023 | Κ43Μ     | PRIVATE_A          |                      1 |          5.00 |                  8 |                0 |    147100.00 |                            0.00 |                147100.00 |            147100.00 |
| Cardiology        |           2023 | Κ43Μ     | UNINSURED          |                      1 |          6.00 |                  8 |                0 |    147100.00 |                            0.00 |                147100.00 |            147100.00 |
| Cardiology        |           2023 | Κ39Χ     | EFKA               |                      1 |          8.00 |                  2 |                6 |     32700.00 |                        98100.00 |                130800.00 |            130800.00 |
| Cardiology        |           2023 | Κ42Χ     | EFKA               |                      1 |          7.00 |                  5 |                2 |     93400.00 |                        37360.00 |                130760.00 |            130760.00 |
| Cardiology        |           2023 | Κ37Μ     | PRIVATE_A          |                      1 |          5.00 |                  6 |                0 |    119800.00 |                            0.00 |                119800.00 |            119800.00 |
| Cardiology        |           2023 | Κ43Χ     | PRIVATE_A          |                      1 |          6.00 |                  2 |                4 |     39700.00 |                        79400.00 |                119100.00 |            119100.00 |
| Cardiology        |           2023 | Κ31Χ     | EFKA               |                      1 |          4.00 |                  4 |                0 |    118300.00 |                            0.00 |                118300.00 |            118300.00 |
| Cardiology        |           2023 | Κ43Χ     | ARMED_FORCES       |                      1 |          5.00 |                  2 |                3 |     39700.00 |                        59550.00 |                 99250.00 |             99250.00 |
| Cardiology        |           2023 | Κ46Χ     | PRIVATE_A          |                      1 |          4.00 |                  2 |                2 |     44400.00 |                        44400.00 |                 88800.00 |             88800.00 |
| Cardiology        |           2023 | Κ37Χ     | UNINSURED          |                      1 |          2.00 |                  2 |                0 |     45900.00 |                            0.00 |                 45900.00 |             45900.00 |
| Cardiology        |           2023 | Κ39Χ     | PRIVATE_B          |                      1 |          2.00 |                  2 |                0 |     32700.00 |                            0.00 |                 32700.00 |             32700.00 |
| Emergency         |           2023 | Κ19Α     | EFKA               |                      3 |          9.67 |                  3 |               20 |    958200.00 |                     21293400.00 |              22251600.00 |          22251600.00 |
| Emergency         |           2023 | Κ19Α     | ARMED_FORCES       |                      2 |          8.50 |                  3 |               11 |    638800.00 |                     11711370.00 |              12350170.00 |          12350170.00 |
| Emergency         |           2023 | Κ10Μ     | EFKA               |                      5 |          7.80 |                  8 |                9 |   2083000.00 |                      4686750.00 |               6769750.00 |           6769750.00 |
| Emergency         |           2023 | Κ16Μ     | EFKA               |                      2 |          7.00 |                  3 |                8 |    306200.00 |                      4082640.00 |               4388840.00 |           4388840.00 |
| Emergency         |           2023 | Ν38Χ     | EFKA               |                      5 |          7.20 |                  4 |               16 |    439500.00 |                      3516000.00 |               3955500.00 |           3955500.00 |
| Emergency         |           2023 | Ω34Α     | EFKA               |                     16 |          6.63 |                  1 |               90 |    460800.00 |                      2592000.00 |               3052800.00 |           3052800.00 |
| Emergency         |           2023 | Κ30Μ     | EFKA               |                      2 |          9.00 |                 11 |                2 |   1259000.00 |                      1144540.00 |               2403540.00 |           2403540.00 |
| Emergency         |           2023 | Ν38Χ     | PRIVATE_A          |                      2 |          9.00 |                  4 |               10 |    175800.00 |                      2197500.00 |               2373300.00 |           2373300.00 |
| Emergency         |           2023 | Τ02Α     | PRIVATE_A          |                      1 |          4.00 |                 23 |                0 |   2027900.00 |                            0.00 |               2027900.00 |           2027900.00 |
| Emergency         |           2023 | Μ02Χ     | EFKA               |                      2 |          7.50 |                  8 |                3 |    686000.00 |                      1286250.00 |               1972250.00 |           1972250.00 |
| Emergency         |           2023 | Ν38Μ     | EFKA               |                      8 |          6.25 |                 10 |                0 |   1861600.00 |                            0.00 |               1861600.00 |           1861600.00 |
| Emergency         |           2023 | Μ02Μ     | EFKA               |                      2 |          8.50 |                 27 |                0 |   1822000.00 |                            0.00 |               1822000.00 |           1822000.00 |
| Emergency         |           2023 | Μ02Μ     | PRIVATE_B          |                      2 |         10.00 |                 27 |                0 |   1822000.00 |                            0.00 |               1822000.00 |           1822000.00 |
| Emergency         |           2023 | Μ73Μ     | EFKA               |                      8 |          7.88 |                 18 |                0 |   1799200.00 |                            0.00 |               1799200.00 |           1799200.00 |
| Emergency         |           2023 | Δ08Χ     | EFKA               |                      5 |          9.00 |                  2 |               35 |    395500.00 |                      1384250.00 |               1779750.00 |           1779750.00 |
| Emergency         |           2023 | Ω34Α     | PRIVATE_A          |                      7 |          8.29 |                  1 |               51 |    201600.00 |                      1468800.00 |               1670400.00 |           1670400.00 |
| Emergency         |           2023 | Κ38Χ     | EFKA               |                      3 |          8.67 |                  1 |               23 |    188100.00 |                      1442100.00 |               1630200.00 |           1630200.00 |
| Emergency         |           2023 | Ν38Χ     | PRIVATE_B          |                      3 |          5.33 |                  4 |                6 |    263700.00 |                      1318500.00 |               1582200.00 |           1582200.00 |
| Emergency         |           2023 | Κ15Μ     | EFKA               |                      3 |          7.67 |                  4 |               11 |    818400.00 |                       750200.00 |               1568600.00 |           1568600.00 |
| Emergency         |           2023 | Κ39Μ     | EFKA               |                      2 |          9.00 |                  6 |                6 |    253600.00 |                      1267980.00 |               1521580.00 |           1521580.00 |
| Emergency         |           2023 | Κ41Μ     | EFKA               |                      3 |          8.33 |                 22 |                0 |   1440300.00 |                            0.00 |               1440300.00 |           1440300.00 |
| Emergency         |           2023 | Ν38Χ     | ARMED_FORCES       |                      1 |         10.00 |                  4 |                6 |     87900.00 |                      1318500.00 |               1406400.00 |           1406400.00 |
| Emergency         |           2023 | Κ32Μ     | EFKA               |                      1 |         12.00 |                  8 |                4 |    206200.00 |                      1031000.00 |               1237200.00 |           1237200.00 |
| Emergency         |           2023 | Κ39Μ     | UNINSURED          |                      1 |         11.00 |                  6 |                5 |    126800.00 |                      1056650.00 |               1183450.00 |           1183450.00 |
| Emergency         |           2023 | Ω34Α     | ARMED_FORCES       |                      5 |          8.00 |                  1 |               35 |    144000.00 |                      1008000.00 |               1152000.00 |           1152000.00 |
| Emergency         |           2023 | Κ21Μ     | EFKA               |                      3 |          7.67 |                 15 |                0 |   1104000.00 |                            0.00 |               1104000.00 |           1104000.00 |
| Emergency         |           2023 | Μ02Μ     | ARMED_FORCES       |                      1 |          6.00 |                 27 |                0 |    911000.00 |                            0.00 |                911000.00 |            911000.00 |
| Emergency         |           2023 | Δ27Χ     | EFKA               |                      5 |          8.80 |                  1 |               39 |     99500.00 |                       776100.00 |                875600.00 |            875600.00 |
| Emergency         |           2023 | Ν40Α     | PRIVATE_B          |                      4 |          7.75 |                  1 |               27 |    108800.00 |                       734400.00 |                843200.00 |            843200.00 |
| Emergency         |           2023 | Μ23Α     | EFKA               |                      1 |         12.00 |                  1 |               11 |     66100.00 |                       727100.00 |                793200.00 |            793200.00 |
| Emergency         |           2023 | Ω34Α     | PRIVATE_B          |                      4 |          6.75 |                  1 |               23 |    115200.00 |                       662400.00 |                777600.00 |            777600.00 |
| Emergency         |           2023 | Κ44Α     | EFKA               |                      3 |          7.67 |                  1 |               20 |     93300.00 |                       622000.00 |                715300.00 |            715300.00 |
| Emergency         |           2023 | Μ73Μ     | PRIVATE_A          |                      3 |          5.00 |                 18 |                0 |    674700.00 |                            0.00 |                674700.00 |            674700.00 |
| Emergency         |           2023 | Δ08Μ     | ARMED_FORCES       |                      1 |         13.00 |                 11 |                2 |    229400.00 |                       417100.00 |                646500.00 |            646500.00 |
| Emergency         |           2023 | Ω34Α     | UNINSURED          |                      3 |          7.33 |                  1 |               19 |     86400.00 |                       547200.00 |                633600.00 |            633600.00 |
| Emergency         |           2023 | Κ30Μ     | ARMED_FORCES       |                      1 |          3.00 |                 11 |                0 |    629500.00 |                            0.00 |                629500.00 |            629500.00 |
| Emergency         |           2023 | Κ30Μ     | PRIVATE_A          |                      1 |          4.00 |                 11 |                0 |    629500.00 |                            0.00 |                629500.00 |            629500.00 |
| Emergency         |           2023 | Μ23Α     | ARMED_FORCES       |                      1 |          9.00 |                  1 |                8 |     66100.00 |                       528800.00 |                594900.00 |            594900.00 |
| Emergency         |           2023 | Δ27Μ     | UNINSURED          |                      2 |         12.50 |                  3 |               19 |    141600.00 |                       448400.00 |                590000.00 |            590000.00 |
| Emergency         |           2023 | Ν40Α     | EFKA               |                      3 |          6.67 |                  1 |               17 |     81600.00 |                       462400.00 |                544000.00 |            544000.00 |
| Emergency         |           2023 | Μ23Α     | PRIVATE_A          |                      1 |          8.00 |                  1 |                7 |     66100.00 |                       462700.00 |                528800.00 |            528800.00 |
| Emergency         |           2023 | Κ31Μ     | PRIVATE_B          |                      1 |          9.00 |                  8 |                1 |    203800.00 |                       254750.00 |                458550.00 |            458550.00 |
| Emergency         |           2023 | Κ42Μ     | EFKA               |                      2 |         11.00 |                 10 |                2 |    410800.00 |                        41080.00 |                451880.00 |            451880.00 |
| Emergency         |           2023 | Μ73Μ     | UNINSURED          |                      2 |          5.50 |                 18 |                0 |    449800.00 |                            0.00 |                449800.00 |            449800.00 |
| Emergency         |           2023 | Κ10Μ     | PRIVATE_B          |                      1 |          4.00 |                  8 |                0 |    416600.00 |                            0.00 |                416600.00 |            416600.00 |
| Emergency         |           2023 | Κ21Μ     | PRIVATE_B          |                      1 |          3.00 |                 15 |                0 |    368000.00 |                            0.00 |                368000.00 |            368000.00 |
| Emergency         |           2023 | Κ21Μ     | UNINSURED          |                      1 |          4.00 |                 15 |                0 |    368000.00 |                            0.00 |                368000.00 |            368000.00 |
| Emergency         |           2023 | Μ02Χ     | PRIVATE_B          |                      1 |          7.00 |                  8 |                0 |    343000.00 |                            0.00 |                343000.00 |            343000.00 |
| Emergency         |           2023 | Κ36Μ     | EFKA               |                      3 |          4.33 |                  5 |                2 |    287100.00 |                        38280.00 |                325380.00 |            325380.00 |
| Emergency         |           2023 | Δ08Χ     | ARMED_FORCES       |                      1 |          8.00 |                  2 |                6 |     79100.00 |                       237300.00 |                316400.00 |            316400.00 |
| Emergency         |           2023 | Δ08Χ     | UNINSURED          |                      1 |          8.00 |                  2 |                6 |     79100.00 |                       237300.00 |                316400.00 |            316400.00 |
| Emergency         |           2023 | Δ25Μ     | EFKA               |                      1 |          7.00 |                  6 |                1 |    110500.00 |                       184170.00 |                294670.00 |            294670.00 |
| Emergency         |           2023 | Δ08Χ     | PRIVATE_B          |                      2 |          3.50 |                  2 |                3 |    158200.00 |                       118650.00 |                276850.00 |            276850.00 |
| Emergency         |           2023 | Κ15Μ     | UNINSURED          |                      1 |          2.00 |                  4 |                0 |    272800.00 |                            0.00 |                272800.00 |            272800.00 |
| Emergency         |           2023 | Κ38Χ     | PRIVATE_A          |                      1 |          4.00 |                  1 |                3 |     62700.00 |                       188100.00 |                250800.00 |            250800.00 |
