+-------------------+------------+------------+--------------------+---------------------+
| department_name   | shift_type | shift_date | required_personnel | personnel_subclass  |
| ICU               | MORNING    | 2026-03-02 |                  1 | ARCHIVIST           |
| ICU               | MORNING    | 2026-03-02 |                  1 | ACCOUNTANT          |
| ICU               | MORNING    | 2026-03-02 |                  3 | INTENSIVE_CARE      |
| ICU               | MORNING    | 2026-03-02 |                  1 | HEAD_NURSE          |
| ICU               | MORNING    | 2026-03-02 |                  5 | NURSE               |
| ICU               | NIGHT      | 2026-03-02 |                  3 | ASSISTANT_NURSE     |
| ICU               | NIGHT      | 2026-03-02 |                  3 | NURSE               |
| ICU               | NIGHT      | 2026-03-02 |                  1 | BILLING_OFFICER     |
| ICU               | NIGHT      | 2026-03-02 |                  1 | ARCHIVIST           |
| ICU               | NIGHT      | 2026-03-02 |                  3 | INTENSIVE_CARE      |
| Internal Medicine | AFTERNOON  | 2026-03-02 |                  1 | REGISTRAR           |
| Internal Medicine | AFTERNOON  | 2026-03-02 |                  1 | ACCOUNTANT          |
| Internal Medicine | AFTERNOON  | 2026-03-02 |                  6 | NURSE               |
| Internal Medicine | AFTERNOON  | 2026-03-02 |                  3 | INTERNAL_MEDICINE   |
| Internal Medicine | MORNING    | 2026-03-02 |                  3 | INTERNAL_MEDICINE   |
| Internal Medicine | MORNING    | 2026-03-02 |                  1 | ASSISTANT_NURSE     |
| Internal Medicine | MORNING    | 2026-03-02 |                  5 | NURSE               |
| Internal Medicine | MORNING    | 2026-03-02 |                  1 | ACCOUNTANT          |
| Internal Medicine | MORNING    | 2026-03-02 |                  1 | HR_ASSISTANT        |
| Internal Medicine | NIGHT      | 2026-03-02 |                  1 | BILLING_OFFICER     |
| Internal Medicine | NIGHT      | 2026-03-02 |                  1 | REGISTRAR           |
| Internal Medicine | NIGHT      | 2026-03-02 |                  3 | INTERNAL_MEDICINE   |
| Internal Medicine | NIGHT      | 2026-03-02 |                  1 | ASSISTANT_NURSE     |
| Internal Medicine | NIGHT      | 2026-03-02 |                  5 | NURSE               |
| Nephrology        | AFTERNOON  | 2026-03-02 |                  1 | ARCHIVIST           |
| Nephrology        | AFTERNOON  | 2026-03-02 |                  1 | SECRETARY           |
| Nephrology        | AFTERNOON  | 2026-03-02 |                  1 | ASSISTANT_NURSE     |
| Nephrology        | AFTERNOON  | 2026-03-02 |                  5 | NURSE               |
| Nephrology        | AFTERNOON  | 2026-03-02 |                  3 | NEPHROLOGY          |
| Nephrology        | MORNING    | 2026-03-02 |                  3 | NEPHROLOGY          |
| Nephrology        | MORNING    | 2026-03-02 |                  1 | ASSISTANT_NURSE     |
| Nephrology        | MORNING    | 2026-03-02 |                  5 | NURSE               |
| Nephrology        | MORNING    | 2026-03-02 |                  1 | ACCOUNTANT          |
| Nephrology        | MORNING    | 2026-03-02 |                  1 | REGISTRAR           |
| Nephrology        | NIGHT      | 2026-03-02 |                  1 | REGISTRAR           |
| Nephrology        | NIGHT      | 2026-03-02 |                  1 | HR_ASSISTANT        |
| Nephrology        | NIGHT      | 2026-03-02 |                  6 | NURSE               |
| Nephrology        | NIGHT      | 2026-03-02 |                  3 | NEPHROLOGY          |
| Neurology         | AFTERNOON  | 2026-03-02 |                  1 | BILLING_OFFICER     |
| Neurology         | AFTERNOON  | 2026-03-02 |                  1 | ASSISTANT_NURSE     |
| Neurology         | AFTERNOON  | 2026-03-02 |                  5 | NURSE               |
| Neurology         | AFTERNOON  | 2026-03-02 |                  3 | NEUROLOGY           |
| Neurology         | AFTERNOON  | 2026-03-02 |                  1 | REGISTRAR           |
| Neurology         | MORNING    | 2026-03-02 |                  1 | ARCHIVIST           |
| Neurology         | MORNING    | 2026-03-02 |                  1 | ASSISTANT_NURSE     |
| Neurology         | MORNING    | 2026-03-02 |                  5 | NURSE               |
| Neurology         | MORNING    | 2026-03-02 |                  1 | ACCOUNTANT          |
| Neurology         | MORNING    | 2026-03-02 |                  3 | NEUROLOGY           |
| Neurology         | NIGHT      | 2026-03-02 |                  3 | NEUROLOGY           |
| Neurology         | NIGHT      | 2026-03-02 |                  6 | NURSE               |
| Neurology         | NIGHT      | 2026-03-02 |                  1 | SECRETARY           |
| Neurology         | NIGHT      | 2026-03-02 |                  1 | ACCOUNTANT          |
| Oncology          | AFTERNOON  | 2026-03-02 |                  1 | HR_ASSISTANT        |
| Oncology          | AFTERNOON  | 2026-03-02 |                  3 | ONCOLOGY            |
| Oncology          | AFTERNOON  | 2026-03-02 |                  1 | ASSISTANT_NURSE     |
| Oncology          | AFTERNOON  | 2026-03-02 |                  5 | NURSE               |
| Oncology          | AFTERNOON  | 2026-03-02 |                  1 | BILLING_OFFICER     |
| Oncology          | MORNING    | 2026-03-02 |                  1 | ARCHIVIST           |
| Oncology          | MORNING    | 2026-03-02 |                  3 | ONCOLOGY            |
| Oncology          | MORNING    | 2026-03-02 |                  1 | REGISTRAR           |
| Oncology          | MORNING    | 2026-03-02 |                  6 | NURSE               |
| Oncology          | NIGHT      | 2026-03-02 |                  2 | ASSISTANT_NURSE     |
| Oncology          | NIGHT      | 2026-03-02 |                  4 | NURSE               |
| Oncology          | NIGHT      | 2026-03-02 |                  3 | ONCOLOGY            |
| Oncology          | NIGHT      | 2026-03-02 |                  1 | REGISTRAR           |
| Oncology          | NIGHT      | 2026-03-02 |                  1 | HR_ASSISTANT        |
| Ophthalmology     | AFTERNOON  | 2026-03-02 |                  1 | ACCOUNTANT          |
| Ophthalmology     | AFTERNOON  | 2026-03-02 |                  1 | ARCHIVIST           |
| Ophthalmology     | AFTERNOON  | 2026-03-02 |                  3 | OPHTHALMOLOGY       |
| Ophthalmology     | AFTERNOON  | 2026-03-02 |                  6 | NURSE               |
| Ophthalmology     | MORNING    | 2026-03-02 |                  5 | NURSE               |
| Ophthalmology     | MORNING    | 2026-03-02 |                  1 | ARCHIVIST           |
| Ophthalmology     | MORNING    | 2026-03-02 |                  1 | BILLING_OFFICER     |
| Ophthalmology     | MORNING    | 2026-03-02 |                  1 | ASSISTANT_NURSE     |
| Ophthalmology     | MORNING    | 2026-03-02 |                  3 | OPHTHALMOLOGY       |
| Ophthalmology     | NIGHT      | 2026-03-02 |                  3 | OPHTHALMOLOGY       |
| Ophthalmology     | NIGHT      | 2026-03-02 |                  1 | REGISTRAR           |
| Ophthalmology     | NIGHT      | 2026-03-02 |                  1 | BILLING_OFFICER     |
| Ophthalmology     | NIGHT      | 2026-03-02 |                  1 | ASSISTANT_NURSE     |
| Ophthalmology     | NIGHT      | 2026-03-02 |                  5 | NURSE               |
| Orthopedics       | AFTERNOON  | 2026-03-02 |                  3 | ORTHOPEDICS         |
| Orthopedics       | AFTERNOON  | 2026-03-02 |                  6 | NURSE               |
| Orthopedics       | AFTERNOON  | 2026-03-02 |                  1 | ACCOUNTANT          |
| Orthopedics       | AFTERNOON  | 2026-03-02 |                  1 | BILLING_OFFICER     |
| Orthopedics       | MORNING    | 2026-03-02 |                  1 | SECRETARY           |
| Orthopedics       | MORNING    | 2026-03-02 |                  1 | BILLING_OFFICER     |
| Orthopedics       | MORNING    | 2026-03-02 |                  6 | NURSE               |
| Orthopedics       | MORNING    | 2026-03-02 |                  3 | ORTHOPEDICS         |
| Orthopedics       | NIGHT      | 2026-03-02 |                  3 | ORTHOPEDICS         |
| Orthopedics       | NIGHT      | 2026-03-02 |                  1 | HEAD_NURSE          |
| Orthopedics       | NIGHT      | 2026-03-02 |                  2 | ASSISTANT_NURSE     |
| Orthopedics       | NIGHT      | 2026-03-02 |                  3 | NURSE               |
| Orthopedics       | NIGHT      | 2026-03-02 |                  1 | HR_ASSISTANT        |
| Orthopedics       | NIGHT      | 2026-03-02 |                  1 | SECRETARY           |
| Pediatrics        | AFTERNOON  | 2026-03-02 |                  1 | BILLING_OFFICER     |
| Pediatrics        | AFTERNOON  | 2026-03-02 |                  1 | REGISTRAR           |
| Pediatrics        | AFTERNOON  | 2026-03-02 |                  3 | PEDIATRICS          |
| Pediatrics        | AFTERNOON  | 2026-03-02 |                  1 | HEAD_NURSE          |
| Pediatrics        | AFTERNOON  | 2026-03-02 |                  5 | NURSE               |
| Pediatrics        | MORNING    | 2026-03-02 |                  2 | ASSISTANT_NURSE     |
| Pediatrics        | MORNING    | 2026-03-02 |                  4 | NURSE               |
| Pediatrics        | MORNING    | 2026-03-02 |                  2 | HR_ASSISTANT        |
| Pediatrics        | MORNING    | 2026-03-02 |                  3 | PEDIATRICS          |
| Pediatrics        | NIGHT      | 2026-03-02 |                  3 | PEDIATRICS          |
| Pediatrics        | NIGHT      | 2026-03-02 |                  1 | ASSISTANT_NURSE     |
| Pediatrics        | NIGHT      | 2026-03-02 |                  5 | NURSE               |
| Pediatrics        | NIGHT      | 2026-03-02 |                  1 | ACCOUNTANT          |
| Pediatrics        | NIGHT      | 2026-03-02 |                  1 | BILLING_OFFICER     |
| Psychiatry        | AFTERNOON  | 2026-03-02 |                  3 | PSYCHIATRY          |
| Psychiatry        | AFTERNOON  | 2026-03-02 |                  1 | HR_ASSISTANT        |
| Psychiatry        | AFTERNOON  | 2026-03-02 |                  1 | BILLING_OFFICER     |
| Psychiatry        | AFTERNOON  | 2026-03-02 |                  3 | ASSISTANT_NURSE     |
| Psychiatry        | AFTERNOON  | 2026-03-02 |                  3 | NURSE               |
| Psychiatry        | MORNING    | 2026-03-02 |                  1 | ASSISTANT_NURSE     |
| Psychiatry        | MORNING    | 2026-03-02 |                  5 | NURSE               |
| Psychiatry        | MORNING    | 2026-03-02 |                  1 | ACCOUNTANT          |
| Psychiatry        | MORNING    | 2026-03-02 |                  1 | BILLING_OFFICER     |
| Psychiatry        | MORNING    | 2026-03-02 |                  3 | PSYCHIATRY          |
| Psychiatry        | NIGHT      | 2026-03-02 |                  3 | PSYCHIATRY          |
| Psychiatry        | NIGHT      | 2026-03-02 |                  1 | HR_ASSISTANT        |
| Psychiatry        | NIGHT      | 2026-03-02 |                  6 | NURSE               |
| Psychiatry        | NIGHT      | 2026-03-02 |                  1 | SECRETARY           |
| Pulmonology       | AFTERNOON  | 2026-03-02 |                  3 | PULMONOLOGY         |
| Pulmonology       | AFTERNOON  | 2026-03-02 |                  2 | REGISTRAR           |
| Pulmonology       | AFTERNOON  | 2026-03-02 |                  1 | ASSISTANT_NURSE     |
| Pulmonology       | AFTERNOON  | 2026-03-02 |                  5 | NURSE               |
| Pulmonology       | MORNING    | 2026-03-02 |                  1 | ASSISTANT_NURSE     |
| Pulmonology       | MORNING    | 2026-03-02 |                  5 | NURSE               |
| Pulmonology       | MORNING    | 2026-03-02 |                  3 | PULMONOLOGY         |
| Pulmonology       | MORNING    | 2026-03-02 |                  1 | SECRETARY           |
| Pulmonology       | MORNING    | 2026-03-02 |                  1 | ARCHIVIST           |
| Pulmonology       | NIGHT      | 2026-03-02 |                  1 | SECRETARY           |
| Pulmonology       | NIGHT      | 2026-03-02 |                  1 | HR_ASSISTANT        |
| Pulmonology       | NIGHT      | 2026-03-02 |                  6 | NURSE               |
| Pulmonology       | NIGHT      | 2026-03-02 |                  3 | PULMONOLOGY         |
| Surgery           | AFTERNOON  | 2026-03-02 |                  3 | GENERAL_SURGERY     |
| Surgery           | AFTERNOON  | 2026-03-02 |                  6 | NURSE               |
| Surgery           | AFTERNOON  | 2026-03-02 |                  1 | SECRETARY           |
| Surgery           | AFTERNOON  | 2026-03-02 |                  1 | ARCHIVIST           |
| Surgery           | MORNING    | 2026-03-02 |                  1 | BILLING_OFFICER     |
| Surgery           | MORNING    | 2026-03-02 |                  1 | HR_ASSISTANT        |
| Surgery           | MORNING    | 2026-03-02 |                  6 | NURSE               |
| Surgery           | MORNING    | 2026-03-02 |                  3 | GENERAL_SURGERY     |
| Surgery           | NIGHT      | 2026-03-02 |                  3 | GENERAL_SURGERY     |
| Surgery           | NIGHT      | 2026-03-02 |                  1 | HEAD_NURSE          |
| Surgery           | NIGHT      | 2026-03-02 |                  1 | ASSISTANT_NURSE     |
| Surgery           | NIGHT      | 2026-03-02 |                  4 | NURSE               |
| Surgery           | NIGHT      | 2026-03-02 |                  1 | ARCHIVIST           |
| Surgery           | NIGHT      | 2026-03-02 |                  1 | BILLING_OFFICER     |
| Cardiology        | AFTERNOON  | 2026-03-03 |                  1 | SECRETARY           |
| Cardiology        | AFTERNOON  | 2026-03-03 |                  1 | REGISTRAR           |
| Cardiology        | AFTERNOON  | 2026-03-03 |                  2 | ASSISTANT_NURSE     |
| Cardiology        | AFTERNOON  | 2026-03-03 |                  4 | NURSE               |
| Cardiology        | AFTERNOON  | 2026-03-03 |                  3 | CARDIOLOGY          |
| Cardiology        | MORNING    | 2026-03-03 |                  3 | CARDIOLOGY          |
| Cardiology        | MORNING    | 2026-03-03 |                  1 | SECRETARY           |
| Cardiology        | MORNING    | 2026-03-03 |                  1 | HR_ASSISTANT        |
| Cardiology        | MORNING    | 2026-03-03 |                  1 | ASSISTANT_NURSE     |
| Cardiology        | MORNING    | 2026-03-03 |                  5 | NURSE               |
| Cardiology        | NIGHT      | 2026-03-03 |                  6 | NURSE               |
| Cardiology        | NIGHT      | 2026-03-03 |                  3 | CARDIOLOGY          |
| Cardiology        | NIGHT      | 2026-03-03 |                  1 | ACCOUNTANT          |
| Cardiology        | NIGHT      | 2026-03-03 |                  1 | BILLING_OFFICER     |
| Emergency         | AFTERNOON  | 2026-03-03 |                  1 | BILLING_OFFICER     |
| Emergency         | AFTERNOON  | 2026-03-03 |                  1 | HR_ASSISTANT        |
| Emergency         | AFTERNOON  | 2026-03-03 |                  3 | EMERGENCY_MEDICINE  |
| Emergency         | AFTERNOON  | 2026-03-03 |                  6 | NURSE               |
| Emergency         | MORNING    | 2026-03-03 |                  1 | ASSISTANT_NURSE     |
| Emergency         | MORNING    | 2026-03-03 |                  5 | NURSE               |
| Emergency         | MORNING    | 2026-03-03 |                  3 | EMERGENCY_MEDICINE  |
| Emergency         | MORNING    | 2026-03-03 |                  1 | ARCHIVIST           |
| Emergency         | MORNING    | 2026-03-03 |                  1 | SECRETARY           |
| Emergency         | NIGHT      | 2026-03-03 |                  2 | ACCOUNTANT          |
| Emergency         | NIGHT      | 2026-03-03 |                  3 | EMERGENCY_MEDICINE  |
| Emergency         | NIGHT      | 2026-03-03 |                  6 | NURSE               |
| ENT               | AFTERNOON  | 2026-03-03 |                  3 | OTORHINOLARYNGOLOGY |
| ENT               | AFTERNOON  | 2026-03-03 |                  2 | ASSISTANT_NURSE     |
| ENT               | AFTERNOON  | 2026-03-03 |                  4 | NURSE               |
| ENT               | AFTERNOON  | 2026-03-03 |                  1 | REGISTRAR           |
| ENT               | AFTERNOON  | 2026-03-03 |                  1 | BILLING_OFFICER     |
| ENT               | MORNING    | 2026-03-03 |                  1 | REGISTRAR           |
| ENT               | MORNING    | 2026-03-03 |                  1 | HR_ASSISTANT        |
| ENT               | MORNING    | 2026-03-03 |                  1 | HEAD_NURSE          |
| ENT               | MORNING    | 2026-03-03 |                  5 | NURSE               |
| ENT               | MORNING    | 2026-03-03 |                  3 | OTORHINOLARYNGOLOGY |
| ENT               | NIGHT      | 2026-03-03 |                  3 | OTORHINOLARYNGOLOGY |
| ENT               | NIGHT      | 2026-03-03 |                  6 | NURSE               |
| ENT               | NIGHT      | 2026-03-03 |                  1 | ACCOUNTANT          |
| ENT               | NIGHT      | 2026-03-03 |                  1 | SECRETARY           |
| Gastroenterology  | AFTERNOON  | 2026-03-03 |                  1 | ACCOUNTANT          |
| Gastroenterology  | AFTERNOON  | 2026-03-03 |                  1 | SECRETARY           |
| Gastroenterology  | AFTERNOON  | 2026-03-03 |                  3 | GASTROENTEROLOGY    |
| Gastroenterology  | AFTERNOON  | 2026-03-03 |                  6 | NURSE               |
| Gastroenterology  | MORNING    | 2026-03-03 |                  1 | ASSISTANT_NURSE     |
| Gastroenterology  | MORNING    | 2026-03-03 |                  5 | NURSE               |
| Gastroenterology  | MORNING    | 2026-03-03 |                  3 | GASTROENTEROLOGY    |
| Gastroenterology  | MORNING    | 2026-03-03 |                  1 | HR_ASSISTANT        |
| Gastroenterology  | MORNING    | 2026-03-03 |                  1 | ARCHIVIST           |
| Gastroenterology  | NIGHT      | 2026-03-03 |                  2 | BILLING_OFFICER     |
| Gastroenterology  | NIGHT      | 2026-03-03 |                  3 | GASTROENTEROLOGY    |
| Gastroenterology  | NIGHT      | 2026-03-03 |                  1 | HEAD_NURSE          |
| Gastroenterology  | NIGHT      | 2026-03-03 |                  5 | NURSE               |
| ICU               | AFTERNOON  | 2026-03-03 |                  6 | NURSE               |
| ICU               | AFTERNOON  | 2026-03-03 |                  3 | INTENSIVE_CARE      |
| ICU               | AFTERNOON  | 2026-03-03 |                  1 | BILLING_OFFICER     |
| ICU               | AFTERNOON  | 2026-03-03 |                  1 | HR_ASSISTANT        |
| ICU               | MORNING    | 2026-03-03 |                  1 | ACCOUNTANT          |
| ICU               | MORNING    | 2026-03-03 |                  1 | REGISTRAR           |
| ICU               | MORNING    | 2026-03-03 |                  3 | INTENSIVE_CARE      |
| ICU               | MORNING    | 2026-03-03 |                  1 | ASSISTANT_NURSE     |
| ICU               | MORNING    | 2026-03-03 |                  5 | NURSE               |
| ICU               | NIGHT      | 2026-03-03 |                  6 | NURSE               |
| ICU               | NIGHT      | 2026-03-03 |                  3 | INTENSIVE_CARE      |
| ICU               | NIGHT      | 2026-03-03 |                  1 | REGISTRAR           |
| ICU               | NIGHT      | 2026-03-03 |                  1 | HR_ASSISTANT        |
| Internal Medicine | AFTERNOON  | 2026-03-03 |                  1 | BILLING_OFFICER     |
| Internal Medicine | AFTERNOON  | 2026-03-03 |                  1 | ACCOUNTANT          |
| Internal Medicine | AFTERNOON  | 2026-03-03 |                  2 | ASSISTANT_NURSE     |
| Internal Medicine | AFTERNOON  | 2026-03-03 |                  4 | NURSE               |
| Internal Medicine | AFTERNOON  | 2026-03-03 |                  3 | INTERNAL_MEDICINE   |
| Internal Medicine | MORNING    | 2026-03-03 |                  3 | INTERNAL_MEDICINE   |
| Internal Medicine | MORNING    | 2026-03-03 |                  1 | HEAD_NURSE          |
| Internal Medicine | MORNING    | 2026-03-03 |                  2 | ASSISTANT_NURSE     |
| Internal Medicine | MORNING    | 2026-03-03 |                  3 | NURSE               |
| Internal Medicine | MORNING    | 2026-03-03 |                  1 | REGISTRAR           |
| Internal Medicine | MORNING    | 2026-03-03 |                  1 | SECRETARY           |
| Internal Medicine | NIGHT      | 2026-03-03 |                  1 | HR_ASSISTANT        |
| Internal Medicine | NIGHT      | 2026-03-03 |                  1 | BILLING_OFFICER     |
| Internal Medicine | NIGHT      | 2026-03-03 |                  6 | NURSE               |
| Internal Medicine | NIGHT      | 2026-03-03 |                  3 | INTERNAL_MEDICINE   |
| Nephrology        | AFTERNOON  | 2026-03-03 |                  3 | NEPHROLOGY          |
| Nephrology        | AFTERNOON  | 2026-03-03 |                  6 | NURSE               |
| Nephrology        | AFTERNOON  | 2026-03-03 |                  1 | ACCOUNTANT          |
| Nephrology        | AFTERNOON  | 2026-03-03 |                  1 | REGISTRAR           |
| Nephrology        | MORNING    | 2026-03-03 |                  1 | ARCHIVIST           |
| Nephrology        | MORNING    | 2026-03-03 |                  1 | HR_ASSISTANT        |
| Nephrology        | MORNING    | 2026-03-03 |                  6 | NURSE               |
| Nephrology        | MORNING    | 2026-03-03 |                  3 | NEPHROLOGY          |
| Nephrology        | NIGHT      | 2026-03-03 |                  3 | NEPHROLOGY          |
| Nephrology        | NIGHT      | 2026-03-03 |                  2 | ASSISTANT_NURSE     |
| Nephrology        | NIGHT      | 2026-03-03 |                  4 | NURSE               |
| Nephrology        | NIGHT      | 2026-03-03 |                  1 | SECRETARY           |
| Nephrology        | NIGHT      | 2026-03-03 |                  1 | HR_ASSISTANT        |
| Neurology         | AFTERNOON  | 2026-03-03 |                  1 | SECRETARY           |
| Neurology         | AFTERNOON  | 2026-03-03 |                  3 | NEUROLOGY           |
| Neurology         | AFTERNOON  | 2026-03-03 |                  1 | BILLING_OFFICER     |
| Neurology         | AFTERNOON  | 2026-03-03 |                  1 | HEAD_NURSE          |
| Neurology         | AFTERNOON  | 2026-03-03 |                  5 | NURSE               |
| Neurology         | MORNING    | 2026-03-03 |                  6 | NURSE               |
| Neurology         | MORNING    | 2026-03-03 |                  1 | REGISTRAR           |
| Neurology         | MORNING    | 2026-03-03 |                  1 | ARCHIVIST           |
| Neurology         | MORNING    | 2026-03-03 |                  3 | NEUROLOGY           |
| Neurology         | NIGHT      | 2026-03-03 |                  3 | NEUROLOGY           |
| Neurology         | NIGHT      | 2026-03-03 |                  1 | SECRETARY           |
| Neurology         | NIGHT      | 2026-03-03 |                  1 | HR_ASSISTANT        |
| Neurology         | NIGHT      | 2026-03-03 |                  3 | ASSISTANT_NURSE     |
| Neurology         | NIGHT      | 2026-03-03 |                  3 | NURSE               |
| Oncology          | AFTERNOON  | 2026-03-03 |                  1 | ARCHIVIST           |
| Oncology          | AFTERNOON  | 2026-03-03 |                  1 | ASSISTANT_NURSE     |
| Oncology          | AFTERNOON  | 2026-03-03 |                  5 | NURSE               |
| Oncology          | AFTERNOON  | 2026-03-03 |                  1 | SECRETARY           |
| Oncology          | AFTERNOON  | 2026-03-03 |                  3 | ONCOLOGY            |
| Oncology          | MORNING    | 2026-03-03 |                  3 | ONCOLOGY            |
| Oncology          | MORNING    | 2026-03-03 |                  1 | ACCOUNTANT          |
| Oncology          | MORNING    | 2026-03-03 |                  1 | HR_ASSISTANT        |
| Oncology          | MORNING    | 2026-03-03 |                  1 | ASSISTANT_NURSE     |
| Oncology          | MORNING    | 2026-03-03 |                  5 | NURSE               |
| Oncology          | NIGHT      | 2026-03-03 |                  1 | ASSISTANT_NURSE     |
| Oncology          | NIGHT      | 2026-03-03 |                  5 | NURSE               |
| Oncology          | NIGHT      | 2026-03-03 |                  1 | REGISTRAR           |
| Oncology          | NIGHT      | 2026-03-03 |                  1 | ACCOUNTANT          |
| Oncology          | NIGHT      | 2026-03-03 |                  3 | ONCOLOGY            |
| Ophthalmology     | AFTERNOON  | 2026-03-03 |                  3 | OPHTHALMOLOGY       |
| Ophthalmology     | AFTERNOON  | 2026-03-03 |                  6 | NURSE               |
| Ophthalmology     | AFTERNOON  | 2026-03-03 |                  1 | HR_ASSISTANT        |
| Ophthalmology     | AFTERNOON  | 2026-03-03 |                  1 | SECRETARY           |
| Ophthalmology     | MORNING    | 2026-03-03 |                  1 | SECRETARY           |
